MN,alt_m,Fn_N,Wf_kgps,W_kgps,T4_K,N_pct,SMN,binding,conv,Fn_at_100pct,T4_at_100pct
1.0,300.0,632.5846003995807,0.031989547745907565,2.082221777014086,1149.5787236422573,99.2667494804854,0.12428164841417755,T4,True,667.3806739910793,1166.2052453130466
1.02,300.0,638.8589350847059,0.032369397225544744,2.115232271516841,1149.5030039202559,99.32608969634242,0.12476766968922814,T4,True,672.1096358201978,1165.7095521691042
1.05,300.0,640.1565355783607,0.03277357121660303,2.1518222860455105,1149.940935330542,99.12205307493329,0.12187021260830377,T4,True,680.2463899361774,1166.9787111237372
0.0,1000.0,618.2592334499844,0.021488577837063722,1.26820184898616,1150.071019567963,99.57046089515775,0.11475643703342642,T4,True,627.1368467539216,1157.5109702015632
0.3,1000.0,536.394024453811,0.022294695254685963,1.327592769701603,1149.82786306147,99.63966444237234,0.10988678269875995,T4,True,544.4658063251821,1157.0708712565117
0.5,1000.0,528.9486037801746,0.02371602140607756,1.4405808007609122,1147.027169652699,100.0,0.115387454526235,N,True,528.9486037801746,1147.027169652699
0.7,1000.0,557.4836267741314,0.026099293184172936,1.609815386499626,1150.219215407616,99.75600281564941,0.13105136806197426,T4,True,564.1562891228891,1153.7651786498566
0.8,1000.0,569.6710501452905,0.02727199125120685,1.705075433895046,1149.8377021367714,99.73844301090004,0.12061554671680108,T4,True,578.1105142334433,1154.888457143751
0.9,1000.0,590.2436376307191,0.028713291821787394,1.822144459667378,1149.5752675826695,99.4519825597803,0.1186684589114384,T4,True,611.4099763571476,1162.844338172983
0.95,1000.0,604.4334487395467,0.029563381365808928,1.890995829591772,1149.807354048262,99.5268748155669,0.12257252892910664,T4,True,621.8912586459697,1159.7703635270545
1.0,1000.0,622.6982118251373,0.03053315063530936,1.970281126171961,1149.8087396999929,99.49013584694296,0.12686729704017474,T4,True,645.2065119767559,1163.6279674772923
1.02,1000.0,623.7421568042726,0.03079146625400826,1.9923582792108652,1150.108453995665,99.2723349597667,0.12450720353912303,T4,True,655.1251899301793,1166.5426590613083
1.05,1000.0,626.8402153436264,0.0312046787731252,2.030326402716606,1150.134556316948,99.27217728430236,0.12404661563464536,T4,True,659.3319311699984,1165.7666006393288
0.0,2500.0,551.1068834101821,0.018796574650583375,1.096437750511814,1149.6155091870312,100.0,0.2683628611610054,N,True,551.1068834101821,1149.6155091870312
0.3,2500.0,479.3223110882958,0.019385436885761356,1.1443563724312116,1146.770324024086,100.0,0.15085509651068607,N,True,479.3223110882958,1146.770324024086
0.5,2500.0,469.3848236326253,0.020559018709203444,1.2304445906112738,1146.7520956550936,100.0,0.11754676317784862,N,True,469.3848236326253,1146.7520956550936
0.7,2500.0,499.24063181163524,0.022697056475900725,1.378760742302966,1149.8544211884698,100.0,0.11761834146559424,N,True,499.24063181163524,1149.8544211884698
0.8,2500.0,524.8876998873495,0.024066945205921276,1.4794414129267455,1149.9994563490186,99.84641395871418,0.13396680228626967,T4,True,529.3640021013659,1153.9022207036705
0.9,2500.0,541.3147557709982,0.025289117112470387,1.5768130266797404,1149.768927172472,99.64103490098469,0.12027879132056185,T4,True,552.417486909056,1157.506326650088
0.95,2500.0,550.4108526561853,0.025958399341189015,1.62995897534272,1150.1256736650214,99.50967708288336,0.11728201204668975,T4,True,564.8050490143823,1158.9699630023658
1.0,2500.0,567.628653929897,0.026831427347896564,1.6994278303955688,1150.161240013312,99.77998885677067,0.12037667405967811,T4,True,575.16856907411,1155.198832178102
1.02,2500.0,572.566927983799,0.02714068937797087,1.7251725262543598,1149.9135224436216,99.66868839960297,0.12050735363228915,T4,True,583.6474578180253,1157.0699699809825
1.05,2500.0,580.4771629512975,0.02763691624473709,1.76519477757349,1150.1223488043966,99.55520744158052,0.12203733861870725,T4,True,596.4536732620601,1160.6637665731046
0.0,4000.0,474.16267540198464,0.01569636300367198,0.9386541330204637,1123.7147289772759,100.0,,N,True,474.16267540198464,1123.7147289772759
0.3,4000.0,420.01784407331826,0.016430831248695398,0.9815561687273519,1129.4588608327197,100.0,,N,True,420.01784407331826,1129.4588608327197
0.5,4000.0,428.175417089632,0.017961029039397614,1.0640117417805197,1143.6627079270852,100.0,0.17019691871590714,N,True,428.175417089632,1143.6627079270852
0.7,4000.0,452.0934012788418,0.01981033306387522,1.1850226625240157,1149.521886463938,100.0,0.11356276267379051,N,True,452.0934012788418,1149.521886463938
0.8,4000.0,472.42577385098383,0.020904395876776262,1.2699630232870047,1147.0420688073605,100.0,0.11538648160228715,N,True,472.42577385098383,1147.0420688073605
0.9,4000.0,501.289666209478,0.02236993395701765,1.370198627179497,1150.3538318845337,99.92232949698942,0.12901131306224012,T4,True,503.4874711647347,1152.5360187289525
0.95,4000.0,513.5376791412659,0.02305271767022062,1.4222638977540691,1150.3429981799848,99.80668162442629,0.13168745901914303,T4,True,518.0295503850006,1153.2973878704868
1.0,4000.0,521.8319509044651,0.023650528575899426,1.4713208324015645,1149.9916239213335,99.76179028602749,0.12274565997583653,T4,True,527.9710571029988,1154.2971316203125
1.02,4000.0,526.8302686671232,0.02393822153798059,1.4941977950591012,1149.9703050709356,99.80603809202756,0.12182411836948481,T4,True,532.0335851403316,1153.687415258602
1.05,4000.0,535.3867014575321,0.02440626617809728,1.5311643484643924,1149.896427785806,99.75943408968959,0.12027026988048495,T4,True,542.32342554645,1154.9867564036585
0.0,5000.0,432.3191749453524,0.014129503183055898,0.8430942247949911,1118.9223448141108,100.0,,N,True,432.3191749453524,1118.9223448141108
0.3,5000.0,383.08471140509556,0.014682707286858668,0.8815719067454957,1119.6088514521903,100.0,,N,True,383.08471140509556,1119.6088514521903
0.5,5000.0,392.07321727154056,0.016048758265325983,0.9570316707506882,1132.4040689000124,100.0,,N,True,392.07321727154056,1132.4040689000124
0.7,5000.0,418.55896887980276,0.01790482402685698,1.0674903669605786,1144.756272350458,100.0,0.13151658837207525,N,True,418.55896887980276,1144.756272350458
