ax80000_opr5_t1150_n6_cap_3r: design stacking PR 5.091; bleed port after stage 3: frac_P 0.379, frac_work 0.497; turbine map coverage [(0.3, 1.13, 2.52), (0.4, 1.13, 2.58), (0.5, 1.12, 2.64), (0.6, 1.11, 2.69), (0.7, 1.1, 2.74), (0.8, 1.08, 2.79), (0.9, 1.05, 2.84), (1.0, 1.03, 2.9), (1.1, 1.0, 2.96)]
+  |  LS: AG 2 ; 1.83813959 0.5
+  |  LS: AG 1 ; 1648.91026 1
+  |  LS: AG 2 ; 0.91521236 0.5
+  |  LS: AG 1 ; 287.750152 1
+  |  LS: AG 2 ; 0.457273649 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.228636825 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.114318412 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.0571592062 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.0285152506 0.5
+  |  LS: AG 1 ; 27407.0677 1
+  |  LS: AG 2 ; 3.26201207 0.5
+  |  LS: AG 1 ; 5783.21053 1
+  |  LS: AG 2 ; 1.61596911 0.5
+  |  LS: AG 1 ; 1417.21485 1
+  |  LS: AG 2 ; 0.804231572 0.5
+  |  LS: AG 1 ; 188.681198 1
+  |  LS: AG 2 ; 0.402305835 0.5
+  |  LS: AG 1 ; 177.541523 1
+  |  LS: AG 2 ; 0.200383397 0.5
+  |  LS: AG 1 ; 12.1234346 1
+  |  LS: AG 2 ; 0.100217681 0.5
+  |  LS: AG 1 ; 3.80747766 1
+  |  LS: AG 2 ; 0.0501129885 0.5
+  |  LS: AG 1 ; 13106.8903 1
+  |  LS: AG 2 ; 0.0473607024 0.5
+  |  LS: AG 1 ; 6643.25406 1
+  |  LS: AG 2 ; 0.0250725866 0.5
+  |  LS: AG 1 ; 2667.72132 1
+  |  LS: AG 2 ; 0.0130644368 0.5
+  |  LS: AG 1 ; 857.938074 1
+  |  LS: AG 2 ; 0.00669501199 0.5
+  |  LS: AG 1 ; 319.611954 1
+  |  LS: AG 2 ; 0.00342966394 0.5
+  |  LS: AG 1 ; 29.5631764 1
+  |  LS: AG 2 ; 0.00171483197 0.5
+  |  LS: AG 1 ; 29.5631764 1
+  |  LS: AG 2 ; 0.000857415986 0.5
+  |  LS: AG 1 ; 29.5631764 1
+  |  LS: AG 2 ; 0.000433498737 0.5
+  |  LS: AG 1 ; 13106.8903 1
+  |  LS: AG 2 ; 0.0473607024 0.5
+  |  LS: AG 1 ; 6643.25406 1
+  |  LS: AG 2 ; 0.0250725866 0.5
+  |  LS: AG 1 ; 2667.72132 1
+  |  LS: AG 2 ; 0.0130644368 0.5
+  |  LS: AG 1 ; 857.938074 1
+  |  LS: AG 2 ; 0.00669501199 0.5
+  |  LS: AG 1 ; 319.611954 1
+  |  LS: AG 2 ; 0.00342966394 0.5
+  |  LS: AG 1 ; 29.5631764 1
+  |  LS: AG 2 ; 0.00171483197 0.5
+  |  LS: AG 1 ; 29.5631764 1
+  |  LS: AG 2 ; 0.000857415986 0.5
+  |  LS: AG 1 ; 29.5631764 1
+  |  LS: AG 2 ; 0.000433498737 0.5
+  |  LS: AG 1 ; 1541.52506 1
+  |  LS: AG 2 ; 0.010150655 0.5
+  |  LS: AG 1 ; 258.951089 1
+  |  LS: AG 2 ; 0.00508904846 0.5
+  |  LS: AG 1 ; 496.363608 1
+  |  LS: AG 2 ; 1.38997371 0.5
+  |  LS: AG 1 ; 102.317056 1
+  |  LS: AG 2 ; 0.694986855 0.5
+  |  LS: AG 1 ; 102.317056 1
+  |  LS: AG 2 ; 0.346737341 0.5
+  |  LS: AG 1 ; 496.363608 1
+  |  LS: AG 2 ; 1.38997371 0.5
+  |  LS: AG 1 ; 102.317056 1
+  |  LS: AG 2 ; 0.694986855 0.5
+  |  LS: AG 1 ; 102.317056 1
+  |  LS: AG 2 ; 0.346737341 0.5
+  |  LS: AG 1 ; 1239.03493 1
