rpm,N,ht,Cx,eta,ok,D,L,DF,dH,M,h
50000,4,0.45,200,0.8350303789186763,False,99.87837132832006,107.71055504230965,0.5584809371143511,0.6690284048642248,1.04183637738653,9.491308369814544
50000,4,0.5,150,0.8376105448022422,False,113.32360233915357,112.3907346758635,0.7588023692258692,0.5460352126228313,0.9668560464538315,10.084721986903938
50000,4,0.5,170,0.8365828197809326,False,108.22510693500926,106.75458468095394,0.6804524836822431,0.5972348710662226,0.9881788154355216,9.522623422248952
50000,4,0.5,185,0.8342302960118909,False,105.15431262600409,103.34343231565492,0.6290312745466671,0.6310013487272541,1.0098927238133946,9.176270664773778
50000,4,0.5,200,0.8308498409497079,False,102.60438482148767,100.4777512852877,0.5833652461984713,0.6610466607688558,1.0357288285253607,8.879012631165043
50000,4,0.55,150,0.8299760990040864,False,117.25620052743496,104.91943481555617,0.785890599398423,0.5406360688672555,0.9646298381284452,9.440998905135473
50000,4,0.55,170,0.8297377633266835,False,111.92762568486519,99.5120198480852,0.7076322728323405,0.590540186245454,0.9848333018290072,8.902195221099626
50000,4,0.55,185,0.8278646993682147,False,108.71488050890352,96.23693907374611,0.6555695885350726,0.624023825441701,1.0058556301081656,8.570503471107841
50000,4,0.55,200,0.824886271198426,False,106.04409405826077,93.48274513679583,0.6089452347188749,0.6541215775152125,1.031101624542224,8.286014910285244
50000,5,0.3,150,0.8497212924028139,False,103.62691315948624,175.94550172273722,0.652855063843083,0.6040858486563414,0.9342926404278652,12.43625880269425
50000,5,0.3,170,0.8455592979237608,False,99.0814785629348,167.49073876648197,0.5777012639561656,0.6539572187734068,0.9562165464809207,11.775071583758859
50000,5,0.3,185,0.8410516611996169,False,96.35246512624119,162.37083121041084,0.5298409157847052,0.6856794571962179,0.9783996121786552,11.36677562289328
50000,5,0.3,200,0.8356519561037963,False,94.0950515869788,158.08266937376618,0.4881887737557701,0.7132231920764694,1.0048007100495908,11.017404483787248
50000,5,0.35,150,0.8460359435260436,False,105.28596093197679,166.00494553059102,0.6769193511527352,0.5962245550772469,0.9287420467782025,11.756008830001456
50000,5,0.35,170,0.8425154401868576,False,100.61475616458702,157.8524444548134,0.6002137690469496,0.6464189236551277,0.9503289362268162,11.119268779798395
50000,5,0.35,185,0.8384143261853136,False,97.80612025555517,152.91781909456495,0.5510244155189089,0.6785765513572737,0.9723728257834598,10.727548127035677
50000,5,0.35,200,0.833340138653623,False,95.47749123940523,148.75778271485407,0.5080140061196675,0.7066929547472778,0.998523231355614,10.389461049505
50000,5,0.4,150,0.8411197041438412,False,107.39486469557903,156.45216301061473,0.7005605872344653,0.5897811158453657,0.9243604381966422,11.103561573589452
50000,5,0.4,170,0.8382713857026661,False,102.58255024286503,148.60669181396383,0.62277244044697,0.6398399802795868,0.9454876967559785,10.490962539577374
50000,5,0.4,185,0.8345724900149969,False,99.6847809649011,143.84287422305894,0.5724566963216037,0.6722676052600425,0.96718069804225,10.112770949754768
50000,5,0.4,200,0.829847502202752,False,97.2793246187074,139.8308295468689,0.528242507063401,0.7007525777242982,0.9930954223695959,9.78783036759276
50000,5,0.45,150,0.8347808586573877,False,110.02279575461773,147.19617884876243,0.7236825874415257,0.5850879010809089,0.9211901550510051,10.47086701267197
50000,5,0.45,170,0.8326518931614587,False,105.04928879340547,139.66280248371123,0.6453740920711191,0.6344590248833835,0.941716918303193,9.882471850030106
50000,5,0.45,185,0.8293945420484696,False,102.05143658056333,135.08550807169166,0.5942141033249206,0.6668361364677219,0.9630423037843135,9.519457515125506
50000,5,0.45,200,0.8250422568483212,False,99.56019352319757,131.22715535789018,0.5489821078723638,0.695482282217006,0.9886452998547324,9.207697863315031
50000,5,0.5,150,0.8288460208759477,False,113.26944550302987,138.12116111035525,0.7383266737030045,0.5828912400293444,0.9191022104373803,9.844488153915504
50000,5,0.5,170,0.8254395815843921,False,108.10882838919127,130.96681572296356,0.6680435114330638,0.6304469012676653,0.9393434074186667,9.29122376390716
50000,5,0.5,185,0.8226846149148651,False,104.99596745619607,126.5869489702001,0.6164008869497157,0.6623856031278389,0.9602537384166211,8.944538419044537
50000,5,0.5,200,0.8187358170902261,False,102.4068986235556,122.8853610811686,0.5703797557983749,0.690953821000014,0.9854407328639406,8.645695874548636
50000,5,0.55,150,0.8309185667290641,False,117.28199011993959,128.96872299929004,0.7128047708657489,0.5858225551380823,0.9168176539318357,9.183715422338464
