level,nozzle,T4,OPR,W,spec_thrust,TSFC,T5,T3,P3_kPa,NPR,comb_OD_mm,comp_power_kW,duct_dPqP
tool (TurboFlow-level),CD,1250.0,5.0,0.9332081347229917,535.7861573807953,0.13383856052069623,1064.219485827152,533.7742388399253,507.3479290505942,4.284993763496436,128.87648175149897,213.6129216054764,0.03655705663511695
tool (TurboFlow-level),CD,1250.0,6.0,0.9277805659039725,538.9204165882481,0.12757534659781763,1036.5454610092327,565.4625470729686,608.747333248659,4.562363849756334,110.64303370591995,242.94118410439307,0.03666811779422801
fielded (vendor-TSFC level),CV,1150.0,3.0,1.3049982684685617,383.1422712227493,0.1736273851935251,1015.4784472104799,469.9400406584428,306.2362530176155,2.667656244055819,214.84937809919188,212.90128982743985,0.03077309778177161
fielded (vendor-TSFC level),CV,1150.0,3.5,1.308635337191566,382.0774101935656,0.16784327148155873,992.7365982177151,496.1600562227191,357.29163798967153,2.7342969212952664,189.22979314445908,248.72492415047705,0.03072966686478558
fielded (vendor-TSFC level),CV,1150.0,4.0,1.3257542814467451,377.14376866811665,0.1641596057025566,971.5062088793526,520.3096502754357,408.4182342633832,2.7642407514562106,169.8889001574295,284.98450808844746,0.030528057740024882
fielded (vendor-TSFC level),CV,1150.0,4.5,1.350460000429186,370.2442133591423,0.16181845476512374,952.2883431684326,541.9671525092393,459.6049579603212,2.770045697234809,154.81335859616775,320.5785883337812,0.030244383198708612
fielded (vendor-TSFC level),CV,1150.0,5.0,1.3837208457242,361.3445601778299,0.16065920807508052,934.2234247951582,562.0731547410169,510.86671859178864,2.7540094088078697,142.74768625527375,357.4394583204154,0.029874950020443575
fielded (vendor-TSFC level),CV,1150.0,6.0,1.469657896191485,340.21522844779673,0.16092144868791677,901.8788153860318,597.600530867519,609.2539563998165,2.6773720143263446,125.31564613269141,434.2766299585573,0.03586639562294703
fielded (vendor-TSFC level),CV,1250.0,3.0,1.1331293328190735,441.25589732004113,0.1758663316626471,1118.6612563508595,469.9752650641872,305.51055105496994,2.8364554305674137,204.54051759019916,184.90289062316762,0.033069918808857866
fielded (vendor-TSFC level),CV,1250.0,3.5,1.1276557160592129,443.3977440200749,0.16957758923283947,1096.4890256231852,496.1943426563412,356.3986762237281,2.938793877792489,179.6918297301569,214.36691884425136,0.03315211748026529
fielded (vendor-TSFC level),CV,1250.0,4.0,1.1308050437533592,442.1628667487961,0.16499841793374903,1075.792850286539,520.3556650847413,407.3327343430881,3.013237421626698,160.7685572740705,243.13204219218724,0.03310473436160028
fielded (vendor-TSFC level),CV,1250.0,4.5,1.1399392664368218,438.61983029724945,0.16173679524818613,1057.0619212245324,542.03069227957,458.31387180965936,3.0580983882565542,145.9849561432967,270.67917613830235,0.032968544513096054
fielded (vendor-TSFC level),CV,1250.0,5.0,1.1526948363988196,433.76595871521886,0.15923145563754457,1039.52116373586,562.0730062876124,509.3363180116813,3.07823327375773,134.01622683313164,297.76119354708084,0.0327811482228922
fielded (vendor-TSFC level),CV,1250.0,6.0,1.1844268095626669,422.14510843729363,0.15575126925445207,1008.1303046532937,597.5013180218056,611.4892436440357,3.089948345310533,115.83568843727161,349.86880754668937,0.03232909311559527
fielded (vendor-TSFC level),CD,1150.0,3.0,1.3034885417702315,383.58603432995517,0.173426453480127,1015.4782084436595,469.9403175570656,306.230548283375,2.6676047041978768,214.7626629687306,212.65535756282387,0.03079115306373594
fielded (vendor-TSFC level),CD,1150.0,3.5,1.3079137921418817,382.2881932537458,0.16775069820725336,992.7364915489644,496.1601780051762,357.2884662664378,2.734272278943858,189.19347205174887,248.58794799469317,0.030738271200595715
fielded (vendor-TSFC level),CD,1150.0,4.0,1.3233119817935945,377.8398400147371,0.16385706006423834,971.5057580880257,520.3101595649534,408.4062200066379,2.764158420627873,169.78005654967373,284.4602084912587,0.03055657626305972
