MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,comp_RlineMap,comp_NcMap,comp_WcMap,SMN,N_pct,case
1e-06,0.0,63.36836323166553,63.36851651126599,0.0001532796004563925,0.4504109595702553,0.005641525230917437,0.32049890190558056,0.011899019896152406,1.516151499771805,1.5638941507087525,98.2314185203832,288.1500000000577,153.6235408398507,342.35570780657184,145.94236379785815,835.0066949946477,106.2075916272892,786.9864060630583,1.374123653137799,24.55306925094135,0.4645956575389446,1.0481909117095427,141.87330435553815,70.7677547570979,50000.0,0.7213280511344367,0.737929809205839,5.1284752555718e-11,1.4001452291610537,1004.4167849535459,1.3983834521949934,1007.5890566334814,1.34173926147376,1126.9726887075878,1.346564407458205,1115.2611821037692,True,1.1317986769415185,0.5176937517056545,0.8314553144774912,0.08060290144035398,50.0,SLS
1e-06,0.0,46.53670308748862,46.53683257427798,0.00012948678936525374,0.3804959621242485,0.00496923267310184,0.3844113664333936,0.012406888664708644,1.4029269347247326,1.4471042157844984,98.23141852038316,288.1500000000577,142.15109986333792,332.43271590514433,135.04354487017102,845.6258914603991,104.81984513518302,806.5523535017129,1.2883394809065916,16.94085450434066,0.3924788417286612,1.0344948731973371,123.27214278813997,70.76775569096317,45000.0,0.7217260202955028,0.7366749886714705,3.3251218000060114e-08,1.4001452291610537,1004.4167849535459,1.3987709495930147,1006.8894277494189,1.3403600863095517,1130.3696041112348,1.3442282369897312,1120.8987539167636,True,1.049399699109754,0.46592437653508867,0.702392744054542,0.031096064240784704,45.0,SLS
1e-06,0.0,37.0574934170826,37.05760395768586,0.00011054060327093155,0.324822735983709,0.004869976839332032,0.47310044487557085,0.014243085488934078,1.3015305338974044,1.342514906483518,98.2314185203834,288.1500000000577,131.87714364863584,322.75872978305523,125.28328646620403,906.2486982824568,104.07912439067616,876.2546334803367,1.203731172794411,11.300385075278756,0.335052310343285,1.0272823050637003,114.77891849942023,70.75729231716308,40000.0,0.7231134441149262,0.733168209494034,0.012389085967449275,1.4001452291610537,1004.4167849535459,1.3991215641766916,1006.2576011379487,1.3335083241795214,1147.6861640867821,1.33622856021023,1140.7248098614605,False,1.0,0.4141550013645235,0.6056429506401648,,40.0,SLS
1e-06,0.0,34.70058200706935,34.70068578580695,0.00010377873760109722,0.3049530442845731,0.005015534220116394,0.5203348805141248,0.015624561218232158,1.2557877966924593,1.2953317594411622,98.23141852038334,288.1500000000577,127.24227618440932,318.0914874063257,120.88016237518885,953.3168938362754,103.8862421691108,927.7178872954412,1.163582009044225,9.17705607421689,0.31455686660704935,1.025371939073379,114.32603927059354,70.76048052757307,37500.0,0.7240783958212812,0.7298823079352851,0.00966865895881707,1.4001452291610537,1004.4167849535459,1.3992907191891277,1005.9527745753857,1.3285078893459763,1160.7643838631632,1.3306843138057876,1155.0122419081615,False,1.0,0.38827031377924076,0.5677902662251545,,37.5,SLS
1e-06,0.0,33.48061414658492,33.48071118441452,9.703782959683784e-05,0.2851449365289878,0.005440912252400427,0.585033596542896,0.018127155623732908,1.2161983325615155,1.2544956481466145,98.23141852038327,288.1500000000577,123.23088704508957,314.0641914784097,117.0693426928351,1040.278402886917,103.81649550497406,1018.635068338552,1.127656468496628,7.42551301101735,0.2941249462645941,1.0246632207992157,117.6793491580255,70.75927880790225,35000.0,0.724855215600545,0.7225572337735544,0.006353464671580794,1.4001452291610537,1004.4167849535459,1.3994366806022667,1005.6897441443433,1.319911826535096,1184.2323245076693,1.3215647302320372,1179.619394289095,False,1.0,0.36238562619395803,0.5299375818101442,,35.0,SLS
1e-06,0.0,,,7.718113399152225e-06,0.022679618500005157,49.598111776047496,,2077.5572652262385,1.1800981959008001,1.2172587410354343,98.23141852032819,288.14999999976857,119.57305283817954,310.6842716399597,113.59440019627056,2500.0,17.23584551369297,2500.0,6.590590528676171,0.5134757973293758,0.02339386297304202,1.0845563709996233,,,32500.0,0.7246963121845515,0.24286823178079509,,1.4001452291610605,1004.4167849535336,1.3995591791434088,1005.4689950889203,-1954.2915409159632,45998920.06297672,-1295.7790566032982,65832317.14465499,False,1.0,0.33650093860884417,0.4822704300458712,,32.5,SLS
1e-06,0.0,,,7.718113399152225e-06,0.022679618500005157,49.598111776047496,,2077.5572652262385,1.1800981959008001,1.2172587410354343,98.23141852032819,288.14999999976857,119.57305283817954,310.6842716399597,113.59440019627056,2500.0,17.23584551369297,2500.0,6.590590528676171,0.5134757973293758,0.02339386297304202,1.0845563709996233,,,30000.0,0.7246963121845515,0.24286823178079509,,1.4001452291610605,1004.4167849535336,1.3995591791434088,1005.4689950889203,-1954.2915409159632,45998920.06297672,-1295.7790566032982,65832317.14465499,False,1.0,0.33650093860884417,0.4822704300458712,,30.0,SLS
1.02,5000.0,500.00000049929474,933.555630931988,433.5556304326933,1.3257543142472787,0.022799944250443942,0.16415959843926833,0.016337828815755788,3.877887769020531,3.9999999999927462,102.1045585655212,308.90466137184205,408.4182342613442,520.3096502753131,387.99732254827694,1149.999999970725,149.3241522967274,971.5062084421953,2.5983561036882596,284.98451513908805,1.362189249248473,2.764240912191353,565.6222223248301,70.76905595627424,100000.0,0.699999999999511,0.7500000000001413,1.8332069665543898e-09,1.3996236776143818,1005.3527653247414,1.3845010911996347,1033.6144667525582,1.3133931429284327,1202.8935081246218,1.3265268585022643,1166.0691204461307,True,2.000836120464598,1.0,2.4377736141814936,0.1912413611829029,100.0,dash
1.02,5000.0,378.6319179707287,787.7317423324025,409.09982436167377,1.2509717762493495,0.01792005433205276,0.17038234901363294,0.013608661633031767,3.4604806234170984,3.569448967611421,102.10455856552124,308.90466137184205,364.4570111601197,499.02434984228864,346.23416060211366,1035.1028462972777,132.51392300040226,870.4978908258139,2.6128134520707125,241.4507362720657,1.285351506238651,2.4530553280491953,536.3790189679037,70.769055954214,95000.0,0.7018098266649861,0.7500160011039557,2.3162498223460947e-12,1.3996236776143818,1005.3527653247414,1.3866652587496808,1029.437502030666,1.3233261010577808,1174.7724927446143,1.3371898467184322,1138.291998262457,True,1.8302082888487938,0.9500000000000001,2.300264804310959,0.19188157265227668,95.0,dash
1.02,5000.0,273.0761556474261,659.367422686377,386.29126703895093,1.1812263015055946,0.013986155171489496,0.1843813807104061,0.01124835046085544,3.091424407626022,3.1887714052139695,102.10455856552129,308.90466137184205,325.5880966957294,479.83869422534497,309.30869186094293,931.801238867971,117.7740685599222,780.2615783738662,2.626288584940665,204.67855965169153,1.2136892571637787,2.1801958604295235,508.6506007228337,70.76905595739674,90000.0,0.7029448415467365,0.7499150517097832,1.1451987726703622e-09,1.3996236776143818,1005.3527653247414,1.3885632690387504,1025.8011238224217,1.3333073816062684,1148.208863103103,1.3477181483750684,1112.5290803835824,True,1.9542882316351096,0.8999999999999999,2.1720180570166034,0.2652549492110725,90.0,dash
