MN,alt_m,T_K,P_Pa,V_mps,q_Pa,Fn_T4mode_N,Nmech_pct_T4mode,conv_T4,Fn_Nmode_N,T4_Nmode_K,conv_N,Fn_N,binding,T4_K,Nmech_pct,NcPct,W_kgps,Wf_kgps,TSFC_kgpNh,OPR,comp_PR,comp_eff,NPR,Vj_mps,Fram_N,CDS_allow_m2
0.9,1000,281.65,89874.52152060672,302.789060659397,50958.85370218401,474.27695269131505,102.98265886927024,True,342.8508881762681,999.750517704582,True,342.8508881762681,N,999.750517704582,100.0,93.83399868533265,1.076279707946199,0.0139024502632457,0.14597839147762892,3.128054024005958,3.128054024005958,0.7777025607552732,2.423397247602812,533.4004659689684,325.92099062421346,0.00672799451455428
1.0,1000,281.65,89874.52152060672,336.43228962155223,62912.1650644247,504.61187010632204,103.92776000715143,True,324.6698991747195,962.1322509613686,True,324.6698991747195,N,962.1322509613686,100.0,92.33814596261085,1.1469430025588798,0.013477883050019217,0.14944526524169094,2.9219794246137343,2.9219794246137343,0.7720104289079239,2.5263001635516282,522.787036738358,385.9104208936178,0.005160685518329307
0.0,2000,275.15,79495.12784921733,0.0,0.0,421.7456688146667,100.27010417044634,True,418.0518777737152,1143.3760957776776,True,418.0518777737152,N,1143.3760957776776,100.0,102.3350795552706,0.7061919051832842,0.01255768416718442,0.10813888325493357,4.154528233287161,4.154528233287161,0.7732955298255068,1.948229703453838,572.2330045775324,0.00023486630503073935,
0.3,2000,275.15,79495.12784921733,99.75824650122915,5008.193054500692,378.4721840649857,99.86760249508144,True,380.1466250116196,1152.8663972045906,True,378.4721840649857,T4,1150.0,99.86760249508144,101.29143469139356,0.7374616105977336,0.01316231699213403,0.1251990063727884,4.094138016555919,4.094138016555919,0.7763845361661068,2.0447290520091097,574.0519243960347,73.57980839704791,0.07557060599428485
0.6,2000,275.15,79495.12784921733,199.5164930024583,20032.772218002767,387.2991178645168,100.4346762595882,True,372.021471048005,1127.126381356463,True,372.021471048005,N,1127.126381356463,100.0,98.83652684930571,0.8331805152563001,0.01407739349138323,0.13622497823583862,3.835705751224095,3.835705751224095,0.7810714553029757,2.276842389310674,567.97741348722,166.26021420429618,0.018570643493549137
0.8,2000,275.15,79495.12784921733,266.0219906699444,35613.81727644937,418.4868065946741,101.68622319762696,True,354.3680938189305,1062.0050529133393,True,354.3680938189305,N,1062.0050529133393,100.0,96.35165905730614,0.9287198906491916,0.013803425050509483,0.14022800379592973,3.4781492701084114,3.4781492701084114,0.7815707571588596,2.4528923846210313,550.5240438453025,247.09998234116384,0.00995029797194097
0.9,2000,275.15,79495.12784921733,299.27473950368744,45073.737490506224,439.3871900923007,102.61106375136389,True,341.94714685887305,1027.6119566224688,True,341.94714685887305,N,1027.6119566224688,100.0,94.93326399616949,0.9840605517656527,0.013566152646614503,0.1428236796123642,3.285260337723624,3.285260337723624,0.7818108728640233,2.545990712383322,541.166440909495,294.55222811390297,0.007586394337298889
1.0,2000,275.15,79495.12784921733,332.5274883374305,55646.58949445213,461.64291414523694,103.210133940492,True,328.55804142375104,994.569218052255,True,328.55804142375104,N,994.569218052255,100.0,93.41980911939056,1.0468168624068896,0.01332073876161262,0.1459549111917936,3.075976071709776,3.075976071709776,0.7765561402055813,2.6532839679942706,531.9809328743181,348.15183622583066,0.005904369780946013
0.0,3000,268.65,70108.42732351946,0.0,0.0,384.9954447510631,100.1973122048568,True,382.911131553176,1146.2907490664702,True,382.911131553176,N,1146.2907490664702,100.0,103.56572518813985,0.6357726499104708,0.011454966452171665,0.10769569232921646,4.246105571001928,4.246105571001928,0.7699579123034301,1.9950467809575783,573.0628194158363,0.00020894264456280623,
0.3,3000,268.65,70108.42732351946,98.57288569885738,4416.830921381725,351.57212818475114,100.6086181401914,True,344.19952920126275,1136.0897313150574,True,344.19952920126275,N,1136.0897313150574,100.0,102.64470555227085,0.6664314935983447,0.011742831220681225,0.12281885650038543,4.166579425792522,4.166579425792522,0.7723013364841218,2.079877392780232,570.2135436202313,65.70554366186761,0.07792907071334898
