T4_K,eta_c,eta_t,eta_b,TSFC,spec_thrust,T5_K,ok
1150.0,0.78,0.85,0.9,0.12290756965269391,580.6518853524752,1008.3793544247743,True
1250.0,0.66,0.7,0.95,0.154991194467332,489.72293250664563,1085.9912728133659,True
1250.0,0.66,0.7,0.9,0.16360181638218377,489.72293250664563,1085.9912728133659,True
1250.0,0.66,0.75,0.95,0.14442889946839044,525.5370811979469,1085.9912329620538,True
1250.0,0.66,0.75,0.9,0.15245272721663433,525.5370811979469,1085.9912329620538,True
1250.0,0.66,0.8,0.95,0.13700018180952706,554.0338798438829,1085.9911956002466,True
1250.0,0.66,0.8,0.9,0.14461130302116743,554.0338798438829,1085.9911956002466,True
1250.0,0.66,0.85,0.95,0.13147134607341804,577.3329667200863,1085.9911626339158,True
1250.0,0.66,0.85,0.9,0.1387753097441635,577.3329667200863,1085.9911626339158,True
1250.0,0.7,0.7,0.95,0.1470878580856447,523.1018618155783,1095.612506210456,True
1250.0,0.7,0.7,0.9,0.1552594057570694,523.1018618155783,1095.612506210456,True
1250.0,0.7,0.75,0.95,0.1388630149023203,554.0851354062072,1095.6124672392536,True
1250.0,0.7,0.75,0.9,0.14657762684133807,554.0851354062072,1095.6124672392536,True
1250.0,0.7,0.8,0.95,0.1327749003991214,579.4915468494332,1095.612433139467,True
1250.0,0.7,0.8,0.9,0.14015128375462815,579.4915468494332,1095.612433139467,True
1250.0,0.7,0.85,0.95,0.12820234400980773,600.1601063486023,1095.6124023093,True
1250.0,0.7,0.85,0.9,0.13532469645479703,600.1601063486023,1095.6124023093,True
1250.0,0.74,0.7,0.95,0.1413489571554461,550.89408689077,1104.1345234481432,True
1250.0,0.74,0.7,0.9,0.14920167699741532,550.89408689077,1104.1345234481432,True
1250.0,0.74,0.75,0.95,0.1345233694592487,578.8459283923958,1104.1344891914832,True
1250.0,0.74,0.75,0.9,0.14199688998476248,578.8459283923958,1104.1344891914832,True
1250.0,0.74,0.8,0.95,0.12947295037144754,601.4252742500586,1104.1344583153118,True
1250.0,0.74,0.8,0.9,0.13666589205875015,601.4252742500586,1104.1344583153118,True
1250.0,0.74,0.85,0.95,0.12536199907879245,621.1475986129602,1104.1344286547585,True
1250.0,0.74,0.85,0.9,0.13232655458316978,621.1475986129602,1104.1344286547585,True
1250.0,0.78,0.7,0.95,0.13693471452245834,574.7212132179473,1111.771591205041,True
1250.0,0.78,0.7,0.9,0.1445421986625949,574.7212132179473,1111.771591205041,True
1250.0,0.78,0.75,0.95,0.13116040254193967,600.0232062175605,1111.7715605333801,True
1250.0,0.78,0.75,0.9,0.13844709157204743,600.0232062175605,1111.7715605333801,True
1250.0,0.78,0.8,0.95,0.12666942079400895,621.2966378837561,1111.7715302630904,True
1250.0,0.78,0.8,0.9,0.13370661083812055,621.2966378837561,1111.7715302630904,True
1250.0,0.78,0.85,0.95,0.12311088435719783,639.2552995855339,1111.7715035539445,True
1250.0,0.78,0.85,0.9,0.1299503779325977,639.2552995855339,1111.7715035539445,True
