MN,alt_m,Fn_N,Wf_kgps,W_kgps,T4_K,N_pct,SMN,binding,conv,Fn_at_100pct,T4_at_100pct
1.02,300.0,669.5349395452656,0.03422383575336083,2.1161786090597734,1145.3155613456038,100.0,0.2826453835562377,N,True,669.5349395452656,1145.3155613456038
1.05,300.0,684.0340850549652,0.03506231079555985,2.1680400936274538,1148.4665732726417,100.0,0.2885662577935957,N,True,684.0340850549652,1148.4665732726417
0.0,1000.0,593.1872373109554,0.021946641184698155,1.2186513261242369,1149.9367735556145,98.4744482585132,0.2241955480089204,T4,True,632.4339619008184,1176.3507395068348
0.3,1000.0,525.9489963067871,0.022999168828398853,1.2906825324855953,1150.0214411714314,99.14764511583168,0.23610793021786258,T4,True,547.5471953826922,1163.6128498365827
0.5,1000.0,526.6104127775351,0.024689699918204775,1.4070506326846146,1149.7559998411887,99.74048111237167,0.2563967124231623,T4,True,534.4718593252284,1155.9553167377367
0.7,1000.0,553.1117499328969,0.027003259525837403,1.570791535573352,1149.8069221453263,99.8649714677398,0.2804690418346829,T4,True,557.3738605682911,1153.0111197576884
0.8,1000.0,567.1657949595585,0.028275846087306877,1.662858922595911,1150.0464235456548,99.73833943992032,0.2765594470750701,T4,True,575.978557415929,1156.7533411464249
0.9,1000.0,602.2589519310409,0.030016450560784263,1.800080356610313,1147.287091522926,100.0,0.2792927745126812,N,True,602.2589519310409,1147.287091522926
0.95,1000.0,618.4214578950563,0.030981192824923905,1.8673622030319208,1148.6184375065147,100.0,0.2769077837428673,N,True,618.4214578950563,1148.6184375065147
1.0,1000.0,635.0001923576393,0.0319909015813546,1.9383966729451652,1150.0677313683484,99.76031896016467,0.2702271030242267,T4,True,644.687001509683,1157.0143409249667
1.02,1000.0,641.701907270153,0.03238532276558467,1.9690863318825773,1150.102742821566,99.7126482730197,0.2684844575091523,T4,True,652.2821659224672,1156.1593004799292
1.05,1000.0,656.795524183559,0.03310330247546132,2.0253915484529217,1150.0585213832835,100.0,0.27537933422132577,N,True,656.795524183559,1150.0585213832835
0.0,2500.0,534.8860526544805,0.019302197450268396,1.0602032818170661,1150.0276772871775,98.6894332194004,,T4,True,564.1384275548938,1173.5054061049223
0.3,2500.0,478.93442717681,0.020219937314269736,1.1215225967113576,1149.94976735383,99.43420051411604,,T4,True,491.50763695244643,1158.9920204701598
0.5,2500.0,471.4946064433196,0.021484210434262782,1.206822110434763,1150.083081274709,99.67137091867076,0.2348632585192738,T4,True,480.03811882411105,1157.627776878718
0.7,2500.0,499.46988786979705,0.023564149870436316,1.3501540688380178,1149.7512455600247,99.92713889477199,0.2623562963387649,T4,True,501.6430168825491,1151.6722288670167
0.8,2500.0,514.3684463641538,0.024729303276030252,1.4314465587359817,1149.9783102568838,99.51390430399768,0.2759529869166941,T4,True,529.6699183112936,1163.5979919475321
0.9,2500.0,546.6200913637334,0.026337389781202387,1.5477258252559554,1149.698224817698,100.0,0.2809505307800524,N,True,546.6200913637334,1149.698224817698
0.95,2500.0,558.5959322254538,0.02710125453851203,1.6026596868614151,1149.991820773664,99.9312867000736,0.2786186002549007,T4,True,560.7683103890078,1151.6968221413983
1.0,2500.0,574.0123970399478,0.027969136277467933,1.6658640446597264,1150.0066233924092,99.92617599308842,0.2768427428519942,T4,True,576.4409294443835,1151.9163797568324
1.02,2500.0,581.0618610108718,0.028346334926974477,1.6934197402022229,1150.1545479115805,99.89332784206712,0.27545912826237706,T4,True,584.2770341313266,1152.1443734470222
1.05,2500.0,593.9846556718413,0.028954907850212184,1.7413512425326896,1149.6252445825467,100.0,0.276344981466109,N,True,593.9846556718413,1149.6252445825467
0.0,4000.0,495.9092010712159,0.017191526574237035,0.9346109424361755,1150.356252992961,99.85838599711947,,T4,True,498.7161451442808,1152.4200932488238
0.3,4000.0,441.33282338360584,0.017845864950324006,0.9781011806919149,1150.1867699818079,100.0,,N,True,441.33282338360584,1150.1867699818079
0.5,4000.0,433.6138897861677,0.018882008206677674,1.0459446896294717,1150.10808382518,99.52015055076605,,T4,True,444.5798877809787,1161.779299613055
