MN,alt_m,Fn_N,Wf_kgps,W_kgps,T4_K,N_pct,binding,Fn_Nmode,Fn_T4mode,conv_N,conv_T4,maps
1.05,4000.0,511.6151035876473,0.024171438457459716,1.483942716229051,1125.1960385922557,100.0,N,511.6151035876473,64994252790.40246,True,False,PLACEHOLDER scaled NPSS maps
0.0,5000.0,393.0028959388505,0.013893809431430083,0.7886177084192837,1113.3181101936223,100.0,N,393.0028959388505,6172327453.645196,True,False,PLACEHOLDER scaled NPSS maps
0.3,5000.0,347.00161615017737,0.014354951126082776,0.8290847419226054,1107.3757514138128,100.0,N,347.00161615017737,13977925918.511223,True,False,PLACEHOLDER scaled NPSS maps
0.6,5000.0,382.19806104496956,0.016987358063787084,0.9650878719809354,1132.2289855223114,100.0,N,382.19806104496956,28691157466.42072,True,False,PLACEHOLDER scaled NPSS maps
0.7,5000.0,401.4451031029161,0.018078707917440765,1.0270298515871004,1138.5532520093523,100.0,N,401.4451031029161,23829857618.62979,True,False,PLACEHOLDER scaled NPSS maps
0.8,5000.0,427.18892947703193,0.01938896451941922,1.1028436367619865,1144.6945546329935,100.0,N,427.18892947703193,40622183250.961,True,False,PLACEHOLDER scaled NPSS maps
0.9,5000.0,452.6819989012825,0.020583327600097834,1.1939430432557097,1140.1104496758035,100.0,N,452.6819989012825,35536826424.41885,True,False,PLACEHOLDER scaled NPSS maps
0.95,5000.0,484.3705255947661,0.022136812500879288,1.246578332301544,1163.6719869079182,100.0,N,484.3705255947661,56238758983.32649,True,False,PLACEHOLDER scaled NPSS maps
1.0,5000.0,497.1344297360154,0.022708897137721857,1.3022657860472788,1156.9788483160344,100.0,N,497.1344297360154,44748392761.47388,True,False,PLACEHOLDER scaled NPSS maps
1.02,5000.0,500.0000005003884,0.02280867630235456,1.326278720070583,1149.9999999998902,100.0,N,500.0000005003884,66151611333.256165,True,False,PLACEHOLDER scaled NPSS maps
1.05,5000.0,501.43834129098605,0.022977913290935674,1.3540645752547678,1144.1431827005063,100.0,N,501.43834129098605,50341791898.42389,True,False,PLACEHOLDER scaled NPSS maps
0.0,6000.0,350.7700112191782,0.012245728717942711,0.701438991412974,1101.3270723170801,100.0,N,350.7700112191782,4708623314.019593,True,False,PLACEHOLDER scaled NPSS maps
0.3,6000.0,307.5330984753847,0.01250110903504012,0.7369836432870549,1087.9879567907856,100.0,N,307.5330984753847,15016956580.722622,True,False,PLACEHOLDER scaled NPSS maps
0.6,6000.0,336.1361785757018,0.01467688205710093,0.856613328378957,1108.2161665557794,100.0,N,336.1361785757018,15462436606.766794,True,False,PLACEHOLDER scaled NPSS maps
0.7,6000.0,366.3525082254641,0.0162092411320104,0.9156395321421802,1135.3034970895912,100.0,N,366.3525082254641,25770432624.804405,True,False,PLACEHOLDER scaled NPSS maps
0.8,6000.0,388.69395118370716,0.01726602457930874,0.9861365624679447,1135.686521310723,100.0,N,388.69395118370716,22014657337.01756,True,False,PLACEHOLDER scaled NPSS maps
0.9,6000.0,417.24741115587267,0.01868261013806223,1.0646370956077251,1144.3730835547608,100.0,N,417.24741115587267,38119429867.02801,True,False,PLACEHOLDER scaled NPSS maps
0.95,6000.0,431.9586415298291,0.019367608961775837,1.1103193055430658,1145.0118491062735,100.0,N,431.9586415298291,30223453847.280697,True,False,PLACEHOLDER scaled NPSS maps
1.0,6000.0,445.18349168022235,0.019958637481710582,1.1600525691380772,1140.9063906031206,100.0,N,445.18349168022235,47834621122.15283,True,False,PLACEHOLDER scaled NPSS maps
1.02,6000.0,456.40345615358393,0.020473940530537207,1.1829925821257317,1146.440512916377,100.0,N,456.40345615358393,35706455624.03539,True,False,PLACEHOLDER scaled NPSS maps
1.05,6000.0,477.893521293808,0.021515443665897804,1.2173832459504836,1162.8042931193927,100.0,N,477.893521293808,54311704532.97339,True,False,PLACEHOLDER scaled NPSS maps
