OPR,rpm,beta2b,PR_TF,eta_TF,converged,M1s_rel,M_rel_in_TF,U2_tool,D2_tool_mm,D_diff_tool_mm,b2_r2_tool,ATR,choke_margin_ok,alpha2_deg,U2_fielded,D2_fielded_mm,D_diff_fielded_mm,t_root_mm,sigma_root_MCS,B2,blade_ok,b2_geo_r2,inducer_MCS,disc_vm_MCS,disc_yield_MS,burst_MCS,impeller_FE_mass_kg,stress_ok
4.0,85000,-30.0,4.004143514278081,0.795433220157002,True,1.3193765636790047,1.005465879764893,530.2229946884424,119.13545018209888,160.8328577458335,0.1429849111804265,0.7,True,68.62226644599279,565.2120349573097,126.99711424727292,177.44610423381843,4.233854227580737,621.7725225827878,0.17482660499530223,True,0.18331648947254128,240.96755351501318,389.14105654538184,0.5986626255288086,1.7543490912996957,1.1153168657602859,True
4.0,95000,0.0,4.0025296009251425,0.7577598869435153,True,1.445970790420695,1.0958295916035181,478.970755135235,96.2912378226069,129.99317106051933,0.26380593447042017,0.7,True,72.11698839737697,498.3400402872663,100.18519673978867,141.2500155987147,1.6,0.0,0.09150378519396928,True,0.3242750429973898,290.81557523118977,327.3560235725778,0.9003935115309352,1.9120273224422875,0.5890805714370344,True
4.0,95000,-10.0,4.004430275466428,0.7629151973829309,True,1.445970790420695,1.0958295916035161,495.99951539566644,99.71466271124838,134.6147946601853,0.2298476569538312,0.7,True,71.13429027968314,517.8099188549841,104.09937873825339,146.53416129664208,2.47770118950329,619.9119040205043,0.12212403230673294,True,0.29019522878003945,290.81557523118977,347.855149266297,0.78840320308626,1.8533215499159805,0.6770970495714952,True
4.0,95000,-20.0,4.007442342762294,0.7666670802044622,True,1.445970790420695,1.0958295916035141,516.6821306053274,103.87265064390331,140.22807836926947,0.1958222700991262,0.7,True,70.01483039021647,540.7267184933603,108.70652224430914,152.75380502981733,4.133237903928315,621.6813405276907,0.1844684143371992,True,0.2646894595105247,290.81557523118977,373.2831757874587,0.6665772890662269,1.7875266437224544,0.8192464784211063,True
4.0,95000,-30.0,4.012697302061082,0.7675186152116292,True,1.445970790420695,1.0958295916035141,546.4320776508133,109.85351522791746,148.3022455576886,0.15705585330804017,0.95,False,68.62226644599279,572.1786186703262,115.02954378047374,161.28988410363954,5.309930545312049,619.1659652185738,0.23427590150784036,True,0.22581926424247717,290.81557523118977,408.890733998181,0.5214462237255348,1.7057850713562075,0.9691646459690276,True
4.5,75000,0.0,4.5005510303588645,0.8159685959179028,True,1.192905941902308,0.9167714860640593,484.98920673155953,123.5014873560717,166.7270079306968,0.15575268010693766,0.75,True,72.11698839737697,523.6242795729352,133.3398278671443,186.0087676206448,1.6,0.0,0.06875158659442109,True,0.17626568251495742,198.21095371662716,335.3938844729536,0.8548497511679041,1.9071032461228488,1.087249657830911,True
4.5,75000,-10.0,4.500250498099166,0.8198546380224556,True,1.192905941902308,0.9167714860643917,500.67030224082464,127.49464553750478,172.11777147563146,0.13739751256888408,0.75,True,71.13429027968314,541.8402219309095,137.97847949810213,192.27094732243788,1.6,586.5338665198369,0.06746519831550643,True,0.15446644677100407,198.21095371662716,354.26832888819524,0.7560284463199278,1.852364367111375,1.1692096331589847,True
4.5,75000,-20.0,4.50864336590269,0.8229908470073589,True,1.192905941902308,0.9167714860636461,519.3644303755905,132.2550661766108,178.54433933842455,0.11909285071925661,0.75,True,70.01483039021647,563.1455873345285,143.40384624748617,199.59519243410634,2.3700752964231344,617.0789313475624,0.08985750070854667,True,0.13660443099214015,198.21095371662716,377.12545572596474,0.649597643734616,1.7917012210298402,1.3216545618120117,True
4.5,75000,-30.0,4.500215616628589,0.8241124156478382,True,1.192905941902308,0.9167714860639467,543.3655313212688,138.3668963448544,186.79531006555348,0.10001796355167021,0.75,True,68.62226644599278,589.5712451788074,150.13308476008154,208.6796644261101,2.8824274954368607,618.9177139116885,0.10818287983754808,True,0.11690603133902788,198.21095371662716,406.89001215029236,0.5289273380544632,1.7214810049506821,1.4924006047288518,True
4.5,85000,0.0,4.483353072552525,0.7928662364925061,True,1.3175747784384662,1.0033624773945067,491.23454189619,110.37516079095727,149.00646706779233,0.18971117331928997,0.7,True,72.11698839737697,522.8051287314909,117.4687348396397,164.58279203351358,1.6,0.0,0.07804055040354166,True,0.22381862021431917,246.1193097339866,345.2406718162989,0.8019466243215811,1.8735694575027224,0.8232059646268635,True
4.5,85000,-10.0,4.500424969857381,0.7969908487969203,True,1.3175747784384662,1.003362477394992,508.7011395808778,114.29971894697917,154.3046205784219,0.16507673486815932,0.7,True,71.13429027968314,542.8006485691633,121.96151482343869,170.64804501164224,1.8629319070944408,618.8134367485502,0.08468708140075071,True,0.1950561543114254,246.1193097339866,366.5739690850996,0.6970797591289792,1.8157745870706017,0.9027669417520903,True
4.5,85000,-20.0,4.501289540059772,0.8000002221378621,True,1.3175747784384662,1.0033624773946512,528.5977622768496,118.77027779812973,160.33987502747513,0.14193399260582634,0.7,True,70.01483039021646,565.0948561285429,126.97078541458029,177.4105603096834,2.934306049283563,620.2506068736528,0.11955057217902017,True,0.17363139707828532,246.1193097339866,391.00771201442956,0.5910306729063615,1.7552169229244945,1.0437135563185413,True
4.5,85000,-30.0,4.50357411088233,0.8006955554325421,True,1.3175747784384662,1.0033624773961596,556.0481958438965,124.93809736360436,168.66643144086586,0.11630192610850748,0.7,True,68.62226644599278,594.6988858528748,133.62249506079226,186.39036833206956,3.5868973280745013,621.956591387727,0.14480335857316598,True,0.14633650940829732,246.1193097339866,424.859695501464,0.4642604835076689,1.6805096569731504,1.1953231471947083,True
4.5,95000,0.0,4.502012332279766,0.7674916934494592,True,1.4437981623535712,1.0933297733865839,500.13764403601635,100.54658308378964,135.73788716311603,0.219841394327079,0.7,True,72.11698839737696,523.69371986396,105.28224528319774,148.13103113231693,1.6,0.0,0.08707379575192446,True,0.27140611035126705,297.0330552463085,356.38736123592986,0.7455873322793243,1.8360295552096006,0.6512238195627237,True
4.5,95000,-10.0,4.503588404872393,0.7717227253292173,True,1.4437981623535712,1.0933297733831102,518.2700284927129,104.19187817809602,140.65903554042964,0.19057036799251587,0.7,True,71.13429027968314,544.1739137477574,109.39953887320206,153.68937747882276,2.2087914565309315,618.6820585843499,0.10667349152618737,True,0.23899603058214955,297.0330552463085,378.95212665650115,0.641646053412436,1.7791835441122863,0.7317564908094923,True
4.5,95000,-20.0,4.506453327202771,0.7745697891403478,True,1.4437981623535712,1.093329773386587,540.3788888109979,108.63659532224338,146.65940368502856,0.16130605904781123,0.7,True,70.01483039021647,568.4334558372936,114.27662439829122,160.27344293769315,3.5420109655317153,622.6235461850304,0.15444685510395867,True,0.2128687005202352,297.0330552463085,406.66742662143974,0.5297641818187779,1.7155340879639829,0.8656367323039309,True
4.5,95000,-30.0,4.510036076930188,0.7732519590916428,True,1.4437981623535712,1.0933297733886722,573.2925848246648,115.25349311087383,155.59221569967968,0.12713979703526165,0.95,False,68.62226644599279,602.5426858163685,121.13386973247398,169.53072413883987,4.304639674039842,621.5323779696282,0.18586612376737544,True,0.1745798529603723,297.0330552463085,446.6878874200816,0.39270681090316684,1.6342863962496161,1.0069257042682787,True
