S_wing,alt_m,MN,E_case,CDS_m2,wave_m2,E_WD,E_geom,k,CLa,CD0
0.15,2500.0,1.05,nom,0.008251763043117845,0.003991230912926544,1.9757176638694371,1.9757176638694371,0.32257584717113225,3.100046109371239,0.055011753620785635
0.15,2500.0,1.05,lo,0.007088731412042949,0.00282819928185165,1.4,1.9757176638694371,0.32257584717113225,3.100046109371239,0.04725820941361966
0.15,2500.0,1.05,hi,0.01032095916273055,0.006060427032539251,3.0,1.9757176638694371,0.32257584717113225,3.100046109371239,0.06880639441820367
0.15,5000.0,0.05,nom,0.007338616844184811,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.623262120620711,0.048924112294565406
0.15,5000.0,0.05,lo,0.007338616844184811,0.0,1.4,1.9757176638694371,0.14370182170072113,2.623262120620711,0.048924112294565406
0.15,5000.0,0.05,hi,0.007338616844184811,0.0,3.0,1.9757176638694371,0.14370182170072113,2.623262120620711,0.048924112294565406
0.15,5000.0,0.2,nom,0.005953181162430101,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.6372024330239507,0.039687874416200676
0.15,5000.0,0.2,lo,0.005953181162430101,0.0,1.4,1.9757176638694371,0.14370182170072113,2.6372024330239507,0.039687874416200676
0.15,5000.0,0.2,hi,0.005953181162430101,0.0,3.0,1.9757176638694371,0.14370182170072113,2.6372024330239507,0.039687874416200676
0.15,5000.0,0.4,nom,0.005366789804492217,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.6835672348112802,0.03577859869661478
0.15,5000.0,0.4,lo,0.005366789804492217,0.0,1.4,1.9757176638694371,0.14370182170072113,2.6835672348112802,0.03577859869661478
0.15,5000.0,0.4,hi,0.005366789804492217,0.0,3.0,1.9757176638694371,0.14370182170072113,2.6835672348112802,0.03577859869661478
0.15,5000.0,0.6,nom,0.005008658655844163,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.767455432708234,0.03339105770562775
0.15,5000.0,0.6,lo,0.005008658655844163,0.0,1.4,1.9757176638694371,0.14370182170072113,2.767455432708234,0.03339105770562775
0.15,5000.0,0.6,hi,0.005008658655844163,0.0,3.0,1.9757176638694371,0.14370182170072113,2.767455432708234,0.03339105770562775
0.15,5000.0,0.7,nom,0.004859648634923099,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.8270784063490093,0.032397657566153995
0.15,5000.0,0.7,lo,0.004859648634923099,0.0,1.4,1.9757176638694371,0.14370182170072113,2.8270784063490093,0.032397657566153995
0.15,5000.0,0.7,hi,0.004859648634923099,0.0,3.0,1.9757176638694371,0.14370182170072113,2.8270784063490093,0.032397657566153995
0.15,5000.0,0.8,nom,0.0047215374703354785,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.9017147294469035,0.031476916468903195
0.15,5000.0,0.8,lo,0.0047215374703354785,0.0,1.4,1.9757176638694371,0.14370182170072113,2.9017147294469035,0.031476916468903195
0.15,5000.0,0.8,hi,0.0047215374703354785,0.0,3.0,1.9757176638694371,0.14370182170072113,2.9017147294469035,0.031476916468903195
0.15,5000.0,0.85,nom,0.004655831497139231,2.8834986686336715e-15,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.945792562271314,0.031038876647594874
0.15,5000.0,0.85,lo,0.004655831497138391,2.0432565896996067e-15,1.4,1.9757176638694371,0.14370182170072113,2.945792562271314,0.031038876647589277
0.15,5000.0,0.85,hi,0.004655831497140726,4.378406977927729e-15,3.0,1.9757176638694371,0.14370182170072113,2.945792562271314,0.03103887664760484
0.15,5000.0,0.9,nom,0.0045930554695734725,5.165328957354779e-07,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.9951837232251326,0.030620369797156485
0.15,5000.0,0.9,lo,0.004592904953577446,3.6601689970893393e-07,1.4,1.9757176638694371,0.14370182170072113,2.9951837232251326,0.030619366357182976
0.15,5000.0,0.9,hi,0.004593323258605685,7.843219279477156e-07,3.0,1.9757176638694371,0.14370182170072113,2.9951837232251326,0.030622155057371238
0.15,5000.0,0.95,nom,0.004540181946725384,8.122575832104368e-06,1.9757176638694371,1.9757176638694371,0.3277964191614849,3.0506739596425008,0.030267879644835894
0.15,5000.0,0.95,lo,0.0045378150547001825,5.755683806903289e-06,1.4,1.9757176638694371,0.3277964191614849,3.0506739596425008,0.030252100364667883
0.15,5000.0,0.95,hi,0.004544392979050929,1.2333608157649908e-05,3.0,1.9757176638694371,0.3277964191614849,3.0506739596425008,0.030295953193672863
0.15,5000.0,0.98,nom,0.004978460309349236,0.0004814383173121664,1.9757176638694371,1.9757176638694371,0.3239080871342772,3.087295562291554,0.03318973539566158
0.15,5000.0,0.98,lo,0.004838170758666498,0.00034114876662942785,1.4,1.9757176638694371,0.3239080871342772,3.087295562291554,0.03225447172444332
0.15,5000.0,0.98,hi,0.005228055063385844,0.000731033071348774,3.0,1.9757176638694371,0.3239080871342772,3.087295562291554,0.0348537004225723
0.15,5000.0,1.0,nom,0.005906937739414529,0.0014329726495849926,1.9757176638694371,1.9757176638694371,0.32257584717113225,3.100046109371239,0.039379584929430195
0.15,5000.0,1.0,lo,0.005489374197166223,0.001015409107336687,1.4,1.9757176638694371,0.32257584717113225,3.100046109371239,0.03659582798110815
0.15,5000.0,1.0,hi,0.0066498417484081515,0.002175876658578615,3.0,1.9757176638694371,0.32257584717113225,3.100046109371239,0.04433227832272101
0.15,5000.0,1.02,nom,0.007025950263072142,0.0025749932218223173,1.9757176638694371,1.9757176638694371,0.32257584717113225,3.100046109371239,0.04683966842048095
0.15,5000.0,1.02,lo,0.006275605662091166,0.001824648620841341,1.4,1.9757176638694371,0.32257584717113225,3.100046109371239,0.041837371080607776
0.15,5000.0,1.02,hi,0.008360918371624127,0.0039099613303743026,3.0,1.9757176638694371,0.32257584717113225,3.100046109371239,0.055739455810827516
0.15,5000.0,1.05,nom,0.008407455658491596,0.003991230912926544,1.9757176638694371,1.9757176638694371,0.32257584717113225,3.100046109371239,0.05604970438994397
0.15,5000.0,1.05,lo,0.0072444240274167,0.00282819928185165,1.4,1.9757176638694371,0.32257584717113225,3.100046109371239,0.048296160182778006
0.15,5000.0,1.05,hi,0.010476651778104301,0.006060427032539251,3.0,1.9757176638694371,0.32257584717113225,3.100046109371239,0.06984434518736202
0.2,0.0,0.05,nom,0.007131957418868553,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.6232621206207116,0.03565978709434276
0.2,0.0,0.05,lo,0.007131957418868553,0.0,1.4,1.8563466408126414,0.14370182170072113,2.6232621206207116,0.03565978709434276
0.2,0.0,0.05,hi,0.007131957418868553,0.0,3.0,1.8563466408126414,0.14370182170072113,2.6232621206207116,0.03565978709434276
0.2,0.0,0.2,nom,0.005891762457355727,0.0,1.8563466408126414,1.8563466408126414,0.14370182170072113,2.6372024330239503,0.029458812286778633
0.2,0.0,0.2,lo,0.005891762457355727,0.0,1.4,1.8563466408126414,0.14370182170072113,2.6372024330239503,0.029458812286778633
0.2,0.0,0.2,hi,0.005891762457355727,0.0,3.0,1.8563466408126414,0.14370182170072113,2.6372024330239503,0.029458812286778633
