MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,case,comp_RlineMap,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,beta_cc,SM_peak,SMW_peak
1e-06,0.0,54.749591779077576,54.749705344171495,0.00011356509392050312,0.33371017913745304,0.008383906095378152,0.5512746481316295,0.02386714966620371,1.4478142333028552,1.4931282044620688,98.24962776671494,288.1500000000577,146.69929029638172,342.02296449329884,139.36432578156263,1260.5857128046546,104.834967993427,1203.066983567689,1.3293687063490163,18.079382183284398,0.34415584740323124,1.0404250332399017,163.5091238585644,70.95133755109224,50000.0,0.6453919533048021,0.7107694624618043,8.309409110013112,1.4001452291610537,1004.4167849535459,1.3984002613976458,1007.558537512468,1.3016076726345998,1238.6682542441708,1.3050862503355312,1227.8021911521878,False,50.0,SLS,1.0,0.5176937517056545,1.1710840534287263,,,,,,,
1e-06,0.0,48.12024325500148,48.12034784062913,0.00010458562764873908,0.3073240846548763,0.008154220214006911,0.6100383286689596,0.02520631994074224,1.3889933761571356,1.432466360701526,98.249627766715,288.1500000000577,140.7392867272658,336.4712149290339,133.70232239090254,1300.4822965586652,104.25894738420972,1249.1906310519603,1.282406217839411,14.931805147105075,0.31694382549312755,1.0347827804020082,155.8454598945357,71.36991707712295,47500.0,0.6427941936185192,0.7082752166532686,6.982154882457404,1.4001452291610537,1004.4167849535459,1.3986245821457155,1007.1531898761734,1.2984439997163761,1248.7701916099575,1.3014410369209113,1239.1971581746807,False,47.5,SLS,1.0,0.4918090641203717,1.1110251932115975,,,,,,,
1e-06,0.0,43.26809421832505,43.268191962000444,9.77436753958972e-05,0.28721905913053647,0.00812490054775041,0.6760094822829883,0.026873758112461767,1.3434519459330605,1.3854995659463845,98.24962776671492,288.1500000000577,136.12481662517737,332.0139265987442,129.31857579391848,1351.3978901443945,103.9727128776295,1305.4266824166862,1.2437741808864768,12.666852232362555,0.2962094801570727,1.0308215503216578,149.69652036817357,72.67848946351555,45000.0,0.6399837594839457,0.705285290898676,5.94009231621793,1.4001452291610537,1004.4167849535459,1.3987861277870453,1006.8620758155946,1.2945454742872133,1261.5428300804367,1.297120198483819,1253.0567135370081,False,45.0,SLS,1.0,0.4659243765350889,1.0510473190500353,,,,,,,
1e-06,0.0,39.721498894672976,39.721590041928216,9.11472552410522e-05,0.2678355278398376,0.008152136943288034,0.7388364944046136,0.028915245705397108,1.2979105157089859,1.3385327711912431,98.24962776671487,288.1500000000577,131.51034652308897,326.978915203109,124.93482919693453,1413.0009175290488,103.84384771747257,1372.9731797219738,1.2031028505111256,10.455126895499683,0.27621921299093466,1.0283315690418735,147.07948690705373,72.65390595216316,42500.0,0.6371733253493721,0.6998704303597819,4.884374148488274,1.4001452291610537,1004.4167849535459,1.3989686118636149,1006.533229552146,1.2899427748046848,1277.0905415728919,1.2921016057158965,1269.7106647360959,False,42.5,SLS,1.0,0.4400396889498062,0.9910694448884733,,,,,,,
1e-06,0.0,36.31965725144416,36.3197410911621,8.383971793568754e-05,0.2463623841207481,0.008329631910339313,0.8256320997090131,0.03211996158855129,1.252369085484911,1.2915659764361018,98.24962776671481,288.1500000000577,126.89587642100057,321.89929032805964,120.55108259995053,1509.3748505663957,103.73041907256727,1475.2997148646334,1.1621574816507385,8.357756833691253,0.25407392514818467,1.0259231775774071,145.75096423736846,72.64627289866894,40000.0,0.6343628912147984,0.692650498949144,3.949984025432082,1.4001452291610537,1004.4167849535459,1.3991527128679238,1006.2014694966815,1.2829603898344872,1301.8140344743892,1.2847310440299329,1295.3873771349695,False,40.0,SLS,1.0,0.4141550013645235,0.9310915707269112,,,,,,,
1.02,5000.0,500.00000053161284,938.6461012686917,438.6461007370789,1.341320282012134,0.022987498280908958,0.16550998744657003,0.016281065499213824,3.878606616580706,4.000000000012729,102.12348577930379,308.90466137184205,408.4939431185151,522.6406819581566,388.0692459625894,1150.000000011123,147.53947434942395,969.4446429904131,2.630274017674135,291.5679631019827,1.377927579781271,2.7312035253015576,565.0418520255258,72.40667819318207,100000.0,0.6922169491926184,0.7499999999996851,1.9237853673856586e-10,1.3996236776143818,1005.3527653247414,1.384253854843049,1034.0968763225821,1.3134308726089736,1202.7831741053842,1.3267332346882108,1165.5127591210965,True,100.0,dash,2.938753575591515,1.0,2.4801565070339375,1.0912893146775413,4.033621210580446,0.7892408126779327,S1,0.9935057841685997,0.11025209688791682,0.16676738343517528
1.02,5000.0,445.6447885617263,871.7600874671191,426.1152989053928,1.3030027895769514,0.0208478370363597,0.1684126354828885,0.015199848644201285,3.6885627913478105,3.804008146215461,102.12348577930385,308.90466137184205,388.47857182439066,513.3827277428253,369.0546432331711,1104.1918629165082,140.10555960917142,929.8075737192672,2.6341184765448267,270.74841263950674,1.338564326781551,2.593589273775234,553.7541895898,72.40667821584522,97500.0,0.6935886409271027,0.7497666330455541,1.9552842117075467e-08,1.3996236776143818,1005.3527653247414,1.3852358013018948,1032.1809081326842,1.3172446657755563,1191.7788634795932,1.3307925481029717,1154.7353726895353,True,97.5,dash,2.9741957437026727,0.975,2.409305883606608,1.060114456129218,3.845315915680806,0.8139335046431505,S1,0.9944446481253929,0.09191297286286537,0.20526947173608745
1.02,5000.0,384.0958287890706,800.0806991017948,415.9848703127243,1.2720253129414836,0.018293065857541282,0.17145470518325637,0.013662002153461604,3.488259693192264,3.5974359227784096,102.12348577930358,308.90466137184205,367.38269630181674,502.0638136366326,349.0135614867259,1039.6408267190457,131.87522872145453,872.5013552851765,2.6465437434342465,249.4911090799024,1.3067414132086612,2.4412320239880643,536.9771498812916,72.40667819310131,95000.0,0.695734740634456,0.7498033859715142,2.708946980006912e-12,1.3996236776143818,1005.3527653247414,1.3863645710925219,1030.0135878384767,1.3229503013520718,1175.8084104425411,1.3369677698299136,1138.8533235085972,True,95.0,dash,3.2381667710186304,0.9500000000000001,2.3520272520379053,,,,,,,
1.02,5000.0,330.5182634194599,734.3253301715587,403.8070667520987,1.2347872413416694,0.016292653212636364,0.17745933600968317,0.012534969615645495,3.3021862614233366,3.405538728591124,102.12348577930362,308.90466137184205,347.7854859201434,492.89152832318666,330.3962116241362,990.7863500088256,124.80850765124043,829.7954405482619,2.6472250797788655,230.53770240290297,1.2684870405853816,2.3104151454244852,524.0761594637331,72.40667819310174,92500.0,0.6949967740204545,0.749690628045658,2.3832298100157626e-13,1.3996236776143818,1005.3527653247414,1.3872719752599278,1028.2751035134052,1.327519384234474,1163.4095302296487,1.341813437071886,1126.7816883940957,True,92.5,dash,2.897828502945947,0.9249999999999999,2.283172522242028,1.0046147370223204,3.4286104287957366,0.8525156432480981,R1,0.9954937655770197,0.08117794908423304,0.1746506735714941
1.02,5000.0,276.2741744455848,667.7960040677573,391.52182962217245,1.1972206524582638,0.014318966443683679,0.1865837778746643,0.011362164604802211,3.113227473172408,3.2106658714740886,102.12348577930368,308.90466137184205,327.88439046757975,483.1573315261339,311.4901709442007,938.961213308978,117.09592197902194,784.6857064495595,2.6601282579251997,211.53674192407766,1.2298951847885708,2.1676422280742598,510.04519230513074,72.40667819310713,90000.0,0.6943551796698464,0.7495339751621325,3.83279970242416e-11,1.3996236776143818,1005.3527653247414,1.3882349653963928,1026.4301203720333,1.332621632773965,1149.9886661689036,1.3471720564793463,1113.8186490096289,True,90.0,dash,2.6060797461051077,0.8999999999999999,2.2137103504432973,0.9740508086398715,3.2353812234427695,0.8743211174858458,R1,0.9733188417908075,0.07246575208610784,0.1487722886601932
1.02,5000.0,223.25834408473116,604.9296439918198,381.67129990708867,1.167099068627465,0.012359308298000091,0.1992915877576971,0.010060279541571541,2.93584086039539,3.0277273780272203,102.12348577930406,308.90466137184205,309.2020738335724,473.0135221132135,293.7419701418937,881.1292820990385,110.1975606123526,733.7520057685049,2.6655941248573036,194.07151290518632,1.198951523036961,2.0399419704549477,493.67475780285525,72.40667819310126,87500.0,0.6934636274806331,0.7496320919739452,2.7142814173107944e-13,1.3996236776143818,1005.3527653247414,1.3891937221330086,1024.6067423909255,1.338624834733545,1134.6961963180543,1.3535272289033462,1098.9800053542463,True,87.5,dash,2.532469460437512,0.875,2.158014299960807,0.9495440871531814,3.0449410945803885,0.8835513287250085,R1,0.9654977695915192,0.07951137592908997,0.15423474295867923
1.02,5000.0,174.01766216482554,544.5732209932729,370.5555588284473,1.1331086400488832,0.01067316223289489,0.22080163335390554,0.008948395381410842,2.762825618187318,2.8492970711546466,102.12348577930412,308.90466137184205,290.9801489270744,463.1193626102375,276.43114148072067,829.7589235188168,103.32368336490983,689.512404890886,2.6753899249259687,176.95680006785994,1.1640334280710412,1.9126949550137669,478.9241564413129,72.40667819310318,85000.0,0.6923376534394851,0.7495403039492997,1.0204563733331325e-12,1.3996236776143818,1005.3527653247414,1.390079591657158,1022.9375391477035,1.3442747048731876,1120.796343530193,1.3592326359225075,1086.0833514436792,True,85.0,dash,2.3914976006314745,0.85,2.0951645960186727,0.9218896991546099,2.8699854920895818,0.8972744233489616,R1,0.9522029648614687,0.07764196518395794,0.14572044278948493
