A_over_r2,liner_factor,span_mm,shaft_od_mm,id_ratio,journal_mm,DN_MCS,bend1_undamped_rpm,bend1_over_MCS,damped_crits,api_ok,m_rotor,Ip,imp_mass,imp_disc_vm_MCS,imp_burst_MCS
0.1,1.0,248.78056811249743,32.0,0.5,12.0,945000.0,65137.04809243859,0.8271371186341409,"[(9187, 2.16), (12529, 1.5), (65104, 59.61)]",False,2.6767865160325974,0.0020886274203057217,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,32.0,0.5,15.0,1181250.0,67776.46474547611,0.8606535205774745,"[(9238, 2.08), (12480, 1.49), (67695, 58.98)]",False,2.69107247460459,0.002089451095104638,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,32.0,0.8,12.0,945000.0,73386.47006539105,0.9318916833700451,"[(9640, 2.11), (14029, 1.31), (73385, 97.01)]",False,2.087018651099905,0.0020214410651325895,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,1.0,248.78056811249743,32.0,0.8,15.0,1181250.0,75023.30008599919,0.9526768264888785,"[(9705, 2.0), (13953, 1.3), (75001, 99.85)]",False,2.1013046096718977,0.002022264739931506,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,24.0,0.5,12.0,945000.0,64977.066366381114,0.8251056046524586,"[(9505, 2.15), (13940, 1.32), (64995, 83.13)]",False,2.0945109779946525,0.00195683493309803,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,24.0,0.5,15.0,1181250.0,66230.60722476043,0.8410235838064817,"[(9567, 2.05), (13869, 1.32), (66216, 83.37)]",False,2.1087624433380454,0.001957656619146735,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,24.0,0.8,12.0,945000.0,77181.88020302884,0.980087367657509,"[(9687, 2.16), (14985, 1.23), (77218, 79.84)]",False,1.8074945057681417,0.0019384429175577553,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,24.0,0.8,15.0,1181250.0,80276.44378624664,1.0193834131586876,"[(9756, 2.05), (14884, 1.21), (80267, 68.89)]",False,1.8217459711115347,0.0019392646036064604,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,28.0,0.5,12.0,945000.0,73506.86652998265,0.9334205273648591,"[(9374, 2.16), (13354, 1.39), (73496, 84.94)]",False,2.293827972596396,0.0019991897944509006,1.0922192439059497,382.2354218270377,1.8739228847448157
0.1,0.85,216.39369092560244,28.0,0.5,15.0,1181250.0,75721.9226666652,0.9615482243386057,"[(9431, 2.06), (13293, 1.38), (75697, 89.39)]",False,2.308079437939789,0.0020000114804996057,1.0922192439059497,382.2354218270377,1.8739228847448157
