tag,OPR,rpm,beta2b,level,eta_c,eta_t,eta_c_tool,eta_t_tool,W,TSFC_dash,Wf_dash,Tt3,U2,t_root_mm,B2,sigma_root_MCS,disc_vm_MCS,burst_MCS,stress_ok,M1s_rel,D_engine_mm,D_comp,D_comb,D_turb,D_comb_hi_engine,L_cal_mm,dry_raw,dry_cal,dry_cal_lo,dry_cal_hi,CDS_nom,CDS_hi,drag_nom,drag_hi,margin_nom,margin_hi,margin_hi_comb_hi,worst_corner,worst_stress_ok,TOGW,fuel,turb_rtip_mm,turb_rtip_stress_limit_mm,turb_eta_tool_at_fielded_flow,dEta_TE_pts
ce75000_opr4.25_t1150_b0_cap,4.25,75000,0.0,fielded,0.7,0.75,0.8134726354752603,0.9343293135119989,1.3395380537771928,0.1631035760791098,0.022653273447511106,531.4827621586909,511.34490251396096,1.6,0.07040257920438958,0.0,321.8622620020188,1.945559651159511,True,1.186407179861958,181.7874287374709,181.7874287374709,161.99336093112427,126.84617531589748,181.7874287374709,465.1497590250191,5.405910003697381,6.500635666616595,6.158226714751171,6.843044618482018,78.94264821337977,94.0942769165704,311.42294671510433,371.03188327577914,0.6055335132729256,0.34759302445625817,0.3475258378380832,0.2803020154535698,True,18.584774474082664,1.883798528793029,61.12308765794874,61.12308766103807,0.9289187817102956,0.025897427828933426
ce75000_opr4.5_t1150_b20_cap,4.5,75000,-20.0,fielded,0.7,0.75,0.8238430892293906,0.933569084864592,1.35046000042897,0.1618184547650989,0.022474785407949782,541.9671525092356,563.2052687779092,2.3774894776882713,0.09005811544792275,617.0624433931335,377.32828274513804,1.7910814137259847,True,1.1820409408106576,199.61570940303213,199.61570940303213,154.81335859614356,126.84617532276663,199.61570940303213,463.24265463916197,5.792626322343072,6.9656641062560745,6.598760642042839,7.33256757046931,90.79797239910894,112.48581225442744,358.1254102298376,443.4488494058201,0.3961589606585054,0.12752575906295416,0.12747911690994385,,True,19.221475215473017,1.868955839187403,61.12308766138331,61.12308766103807,0.9230784594482576,0.05116496008744308
ce75000_opr4.5_t1150_b0_cap,4.5,75000,0.0,fielded,0.7,0.75,0.8168427712758315,0.9334518950326032,1.35046000042897,0.1618184547650989,0.022474785407949782,541.9671525092356,523.6270856328447,1.6,0.0687512181622369,0.0,335.47195302484494,1.9067474517701521,True,1.184328730517939,186.00973227298405,186.00973227298405,154.81335859614356,126.84617532276663,186.00973227298405,456.2356266368878,5.409731524513119,6.505231065818305,6.162580059805448,6.847882071831163,81.50210956186949,98.04378317001746,321.49592361034075,386.5735196913379,0.5552296741961202,0.29341502990458124,0.29335691233552663,,True,18.618549273420744,1.868955839187403,61.12308766138331,61.12308766103807,0.9230784594482576,0.024609024045778142
ce75000_opr3.5_t1150_b20_cap,3.5,75000,-20.0,tool,0.8093719762086116,0.9084907828916985,0.8093719762086116,0.9084907828916985,1.0944487156627585,0.14536618712237145,0.020189748232945316,471.18667084943735,468.4327112183861,2.5538725351556995,0.11428909162898498,619.8568870394987,272.1361184931026,2.1057726595045603,True,1.1921795340556496,183.221826176942,167.03530403210408,183.221826176942,126.84617532199266,196.92487492394199,499.51833087185247,5.423055153453239,6.521252800815312,6.17775787956574,6.864747722064885,79.79586684525387,95.40939118374094,314.7698670195295,376.1959750646297,0.5884620890396297,0.32909449774594024,0.15920389021518067,,,18.415474551291993,1.6789369583186107,61.123087660996326,61.12308766103807,,0.08677709105896607
ce75000_opr3.5_t1150_b0_cap,3.5,75000,0.0,tool,0.8010264459369032,0.9220252763156168,0.8010264459369032,0.9220252763156168,1.0942750218370552,0.1450097824940899,0.02014024759007359,472.8621209553476,438.58994845011887,1.6,0.08208122444943425,0.0,245.0780393490417,2.226441656984169,True,1.1948092718509007,182.8461420530536,156.77611789831292,182.8461420530536,126.84617532134196,196.52062590326878,491.5314740489317,5.2302644034952035,6.2894208937887806,5.958137289149609,6.620704498427952,79.57079719819414,95.06232979453611,313.8621369787702,374.80830995148295,0.5930561275899804,0.3340152479469789,0.1640675275871777,,,18.17561108530629,1.6748205890692778,61.123087660670976,61.12308766103807,,0.036155990993662415
ce75000_opr3.75_t1150_b0_cap,3.75,75000,0.0,tool,0.8068537887227254,0.9350366101262263,0.8068537887227254,0.9350366101262263,1.0808143746426926,0.14128369498306656,0.019622735435222475,482.71412105295275,451.7279318646746,1.6,0.07969398715593398,0.0,257.68545586459686,2.173362372372599,True,1.190602768218914,172.33780010201875,161.29262390411444,172.33780010201875,126.84617531651423,185.2132890410193,464.14054096988923,4.84974245091834,5.831841212447452,5.5246597705994684,6.139022654295435,73.72433122986232,86.08802730269655,290.8068647535215,339.44762736050416,0.7193541870358695,0.47298127967683556,0.3037154873943946,,,17.565791471680413,1.6317853677711323,61.12308765825711,61.12308766103807,,0.033981900185847375
ce75000_opr4_t1150_b30_cap,4.0,75000,-30.0,tool,0.8211349879672738,0.9360633573795017,0.8211349879672738,0.9360633573795017,1.0658297692621843,0.13798371671225296,0.019164405119343326,489.5893354141176,517.3461131185584,2.5865628700417274,0.11338055520665187,619.2356117411163,321.64031534574826,1.9353795996861343,True,1.1842314127626583,183.85049297514644,183.85049297514644,163.38484290704878,126.84617531100665,183.85049297514644,468.93203346468215,5.441728181813209,6.543707217199888,6.199029551127609,6.888384883272167,80.17505773162814,95.99434684549351,316.25894399619796,378.49456365765417,0.5809829572401004,0.32102293808633675,0.3209577569944291,,,18.359216920752164,1.5936715836085502,61.12308765550332,61.12308766103807,,0.09339552641171717
ce75000_opr4_t1150_b20_cap,4.0,75000,-20.0,tool,0.8190120072984723,0.9360119150781583,0.8190120072984723,0.9360119150781583,1.067069845101474,0.13805408349681325,0.019174178283876006,490.05096497973875,494.8080684732797,2.110202809988158,0.09388407367755702,618.1612306006998,299.00439968854454,2.0114320750613617,True,1.1848944826375893,176.10248395523507,176.10248395523507,163.36075895756244,126.84617531909589,176.10248395523507,464.3626585760725,5.230900053343665,6.290185266128232,5.9588613995908375,6.621509132665625,75.72164070816896,89.14439122180787,298.70747877196555,351.5147313459927,0.6738784130491835,0.4224154948447809,0.4223422532448513,,,18.025888937625314,1.594484299396005,61.12308765954795,61.12308766103807,,0.055940535372739825
ce75000_opr4_t1150_b15_cap,4.0,75000,-15.0,tool,0.8174628663842539,0.9359542561682004,0.8174628663842539,0.9359542561682004,1.06798934329945,0.138106891262296,0.01918151269575643,490.3893263291532,486.2011610208522,1.7645800019694218,0.08191203975799792,619.7302261490283,290.68193212528035,2.04210239560104,True,1.185535770696148,173.14364712513233,173.14364712513233,163.34361901562264,126.84617531931286,175.53524127498352,463.275326501254,5.160023086406204,6.20495533464581,5.878120796999178,6.531789872292442,74.14300503129624,86.72779963847161,292.4862714628315,341.9968711523731,0.7094819460484643,0.46200168103283845,0.42991887221199376,,,17.910567691084452,1.5950942136471138,61.12308765965643,61.12308766103807,,0.03997361219440589
ce75000_opr4_t1150_b10_cap,4.0,75000,-10.0,tool,0.81476123549834,0.9357750896459563,0.81476123549834,0.9357750896459563,1.0696491974568443,0.1382053834860134,0.019195192171287317,490.9824781466286,478.54229223150236,1.6,0.0763889809141521,499.5599674290863,283.394185121094,2.0700576818989758,True,1.186201416834971,170.51072198028703,170.51072198028703,163.31600890647223,126.84617532484872,175.50553184923186,461.74832976019303,5.0949001990110085,6.126644714560622,5.803935043883693,6.449354385237551,72.79245738997805,84.66582256961395,287.1634417632173,333.8751640221981,0.7411687137564655,0.4975657204005077,0.43033845456779507,,,17.806115501407845,1.5962317700333664,61.12308766242435,61.12308766103807,,0.03316658151522551
ce75000_opr4_t1150_b0_cap,4.0,75000,0.0,tool,0.8103860933512428,0.9355073060200394,0.8103860933512428,0.9355073060200394,1.0724609086378132,0.13837843016518814,0.01921922646212359,491.9514139661755,463.0405154750577,1.6,0.07774697633762287,0.0,269.14447350850946,2.128164124533445,True,1.187563358683845,165.18160368169734,165.18160368169734,163.2759075058755,126.84617532231393,175.46238136485402,459.3027571971047,4.976178267023471,5.983880956939802,5.66869110295747,6.299070810922134,70.20897484087851,80.73694589310183,276.98184290640864,318.40056896273353,0.8051724837332506,0.570348956778705,0.4309554596671743,,,17.61025451283654,1.5982304110608039,61.123087661156966,61.12308766103807,,0.03208804708692595
ce77500_opr4_t1150_b0_cap,4.0,77500,0.0,tool,0.8048557454345712,0.9353824398730929,0.8048557454345712,0.9353824398730929,1.0760210383205797,0.13859353333123373,0.01924910187206976,493.1912623272824,465.19480270076696,1.6,0.07996649959120163,0.0,273.3921214746596,2.1101302937395494,True,1.2194445765131001,163.22207623469328,160.76341265520958,163.22207623469328,122.90275031676133,175.40445706815558,452.6086033778854,4.7950796731637295,5.766108930099999,5.462389814562333,6.069828045637665,69.30770611011447,79.37158759720381,273.41501360865095,313.00793690881954,0.8287218171874362,0.5974035849397383,0.43180468400104544,,,17.374748144753028,1.6007147872563277,59.15137515838066,59.151375155843304,,0.03419346611258281
ce85000_opr4_t1150_b20_cap,4.0,85000,-20.0,tool,0.7935608285469676,0.9347434807321092,0.7935608285469676,0.9347434807321092,1.0837404972122076,0.139074697979669,0.019315930222098442,495.77705821572334,504.8599642260776,2.6153424916346366,0.12238450458147826,620.1784868548887,319.52434577015026,1.9415166915639364,True,1.3173903559545834,163.12325113756643,159.13947456324692,163.12325113756643,112.46427234226108,175.29811786936807,440.41835081191806,4.49892872182466,5.409985828594338,5.1250248382886125,5.694946818900063,69.26292468226524,79.30382276415146,273.2078407463668,312.71034364556465,0.8301085256773062,0.5989237605729112,0.43335335704873135,,,17.023163231905436,1.6062720921534495,53.93213617113054,53.93213617150418,,0.10221458509244156
ce75000_opr4.25_t1150_b0_cap,4.25,75000,0.0,tool,0.8134726354752603,0.9343293135119989,0.8134726354752603,0.9343293135119989,1.0699693973764666,0.13630152229025688,0.018930766973602228,500.9108378533624,474.34188686417434,1.6,0.0758946257898334,0.0,280.57577969560754,2.085444690036488,True,1.186407179861958,169.06672898153505,169.06672898153505,155.41981038719518,126.84617532297938,169.06672898153505,449.5299050327134,4.9797042292269476,5.9881209453309125,5.672707757807773,6.303534132854051,72.07278821433755,83.56923151952248,284.31690960289734,329.5457607763594,0.7586009935311311,0.5172399685173694,0.5171655674215643,,,17.630658096262177,1.5742427272785011,61.12308766148969,61.12308766103807,,0.03045428221567512
ce75000_opr4.5_t1150_b20_cap,4.5,75000,-20.0,tool,0.8238430892293906,0.933569084864592,0.8238430892293906,0.933569084864592,1.0617477160189301,0.1339626315481968,0.018605921053111346,507.5512603868221,519.1507401032964,1.8109835630760929,0.08028161545833537,618.7431036170507,325.1687645640316,1.9301054944977738,True,1.1820409408106576,184.47087803407186,184.47087803407186,148.40172680982906,126.84617532496704,184.47087803407186,445.05360164129604,5.189819809770117,6.240786053713512,5.912064199258223,6.5695079081688,80.55241321750506,96.57676154764943,317.71302392347934,380.7553794186735,0.5737472576764431,0.3131790833554382,0.3131247155641992,,,18.016322455201152,1.5472292244166277,61.12308766248351,61.12308766103807,,0.03979941720421877
ce75000_opr4.5_t1150_b0_cap,4.5,75000,0.0,tool,0.8168427712758315,0.9334518950326032,0.8168427712758315,0.9334518950326032,1.0660471916797194,0.13417700225187973,0.01863569477016254,509.2310205696354,484.7322200662027,1.6,0.07426780913198482,0.0,291.3135292221526,2.047600691703353,True,1.184328730517939,172.63866242280028,172.63866242280028,148.31256718744106,126.84617532414916,172.63866242280028,438.76209565714913,4.914114052134934,5.9092484068882785,5.597989684344279,6.220507129432278,73.88008988963354,86.32598403433902,291.4218599126816,340.3860029131233,0.7157257883724109,0.46892056685202443,0.46885565360298553,,,17.564236704178075,1.5497051440450955,61.123087662074575,61.12308766103807,,0.029059994262200683
