layout,k,t_drum_mm,shaft_od_mm,journal_od_mm,crits_rpm,bearing_energy,rigid_rpm,first_bending_rpm,rigid_ok,bending_ok,ok,m_rotor_kg,Ip_kgm2,R_front_N_1g,R_rear_N_1g,span_m,gyro_bearing_load_N_per_radps
A,1750000.0,0.3212660060006173,32.0,16.0,"[10064, 16386, 48078, 99046]","[np.float64(0.84), np.float64(0.58), np.float64(0.41), np.float64(0.08)]","[10064, 16386]",48077.52638785273,True,False,False,2.174042187109542,0.0010893840457192217,5.98099052326312,15.346363332281484,0.40897010842267867,22.315573319324784
A,1750000.0,1.0,16.0,16.0,"[10782, 14210, 34864, 85186]","[np.float64(0.37), np.float64(0.81), np.float64(0.7), np.float64(0.05)]","[14210, 34864]",10781.799382572026,False,False,False,1.4690229820846972,0.0009886905307985201,4.562981003149746,9.848134451101133,0.40897010842267867,20.252909079084393
A,1750000.0,1.0,20.0,16.0,"[11656, 15770, 38033, 100779]","[np.float64(0.75), np.float64(0.59), np.float64(0.54), np.float64(0.05)]","[11656, 15770, 38033]",100778.55417643866,False,False,False,1.6108651939985241,0.0010038088884069477,4.90657865063131,10.896008902494213,0.40897010842267867,20.56260226672044
A,1750000.0,1.0,24.0,16.0,"[11390, 17140, 42488, 112221]","[np.float64(0.87), np.float64(0.62), np.float64(0.4), np.float64(0.05)]","[11390, 17140]",42488.41641009766,True,False,False,1.7927638763457683,0.0010315484374649026,5.374054886288382,12.212958740663604,0.40897010842267867,21.130835245053724
A,1750000.0,1.0,28.0,16.0,"[10886, 17827, 47712, 120416]","[np.float64(0.91), np.float64(0.68), np.float64(0.31), np.float64(0.04)]","[10886, 17827]",47712.35335640139,True,False,False,2.0077350463925114,0.0010772298110998356,5.9265268011558305,13.769354003954707,0.40897010842267867,22.06659894260705
A,1750000.0,1.0,32.0,16.0,"[10327, 18058, 52856, 126764]","[np.float64(0.93), np.float64(0.72), np.float64(0.26), np.float64(0.04)]","[10327, 18058]",52855.81918684747,True,False,False,2.255778704138753,0.0011473021444131488,6.563994395233664,15.565194692367509,0.40897010842267867,23.502001175505576
A,1750000.0,2.0,16.0,16.0,"[10313, 14180, 33299, 86537]","[np.float64(0.36), np.float64(0.83), np.float64(0.71), np.float64(0.04)]","[14180, 33299]",10312.941613301313,False,False,False,1.5894479464327853,0.0010741909332348482,5.421938823333814,10.170545531171811,0.40897010842267867,22.00434880954233
A,1750000.0,2.0,20.0,16.0,"[11407, 15561, 36518, 105465]","[np.float64(0.74), np.float64(0.65), np.float64(0.53), np.float64(0.03)]","[11407, 15561, 36518]",105464.79345942153,False,False,False,1.7312901583466123,0.001089309290843276,5.765536470815375,11.21841998256489,0.40897010842267867,22.31404199717838
A,1750000.0,2.0,24.0,16.0,"[11258, 16870, 41301, 121579]","[np.float64(0.87), np.float64(0.69), np.float64(0.36), np.float64(0.03)]","[11258, 16870]",41300.77489228372,True,False,False,1.9131888406938562,0.0011170488399012306,6.233012706472447,12.535369820734282,0.40897010842267867,22.882274975511667
A,1750000.0,2.0,28.0,16.0,"[10809, 17560, 47201, 134137]","[np.float64(0.92), np.float64(0.75), np.float64(0.26), np.float64(0.03)]","[10809, 17560]",47200.955505768245,True,False,False,2.1281600107406,0.0011627302135361636,6.785484621339899,14.091765084025385,0.40897010842267867,23.818038673064986
