MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,N_pct,comp_RlineMap,comp_NcMap,comp_WcMap,comp_PRmap,comp_effMap,pwr_net_kW,conv,igv_deg,W_stack,PR_stack,eta_stack,stall_index,stall_row,SM_peak,SMW_peak,i_R1,i_R2,i_R3,i_R4,i_R5,i_R6,si_R1,si_R2,si_R3,si_R4,si_R5,si_R6,case
1e-06,0.0,187.3947130222866,187.39495488404864,0.00024186176204541555,0.7107089788978188,0.010802543413871678,0.20752536537844057,0.014439688463051707,2.6125261380128544,2.6951712735324884,98.21762904407342,288.1500000000577,264.7133323540569,436.6766303564794,251.477665736354,1011.4271338992497,116.64078833049624,880.8200939606033,2.156001081060973,106.62042251348637,0.7331941117669857,1.1523954376755199,265.224188114808,65.50401147587306,77500.0,0.6285428707877343,0.7441556860615729,3.119783007626718,1.4001452291610537,1004.4167849535459,1.3923693587722639,1018.6375091202652,1.3245969556896011,1171.3039201365739,1.3356715949205682,1142.1365750782852,77.5,1.0,0.8024253151437643,1.343771395220066,2.706333789259177,0.7148410567406946,2.326234779492442,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,161.71607173295882,161.71628886844266,0.00021713548384988114,0.6380509953469016,0.010739544000241536,0.23907554757273936,0.015990205915567032,2.428949253636766,2.505787084009561,98.21762904407336,288.1500000000577,246.11246628068136,428.4181327932876,233.80684296664728,1060.1513020053583,114.40522713236444,933.8193857058975,2.0436727309333307,90.36119666825421,0.6582374033333726,1.1321623277567272,254.55528779843493,65.49299947652285,75000.0,0.6101963222664197,0.7419039239634039,7.402358544824045,1.4001452291610537,1004.4167849535459,1.3930137632597346,1017.4409914478376,1.3198440961311126,1184.4171040581866,1.3299208471826345,1157.0261936088482,75.0,1.0,0.7765406275584814,1.2714734419589362,2.5157025257520784,0.693975549005185,5.519285565905281,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,138.10241659881797,138.1026114825638,0.00019488374583299971,0.5726644296039877,0.010477841565793879,0.2731322924379646,0.017381819042589394,2.2471815965643382,2.3182693552217692,98.21762904407329,288.1500000000577,227.6949195554147,419.2797065078422,216.31017357764395,1101.6560258090458,112.31866054317861,981.4072077160241,1.9258614065691064,75.7787251452528,0.590782162982087,1.1123983448757357,241.87499803809715,65.48048382364324,72500.0,0.5911374870842047,0.7409007729620483,9.516739558319568,1.4001452291610537,1004.4167849535459,1.3937268251849813,1016.1169903320038,1.3159621290283412,1195.4448266018067,1.325023354810333,1170.131933460693,72.5,1.0,0.7506559399731989,1.1988088958092575,2.326950013418041,0.6722999585003929,7.095399425555585,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,119.99030997147189,119.9904834402093,0.00017346873741824143,0.5097365875390516,0.010514461079595186,0.31545930580179454,0.0195958820100395,2.0920739929187433,2.1582550489266206,98.21762904407323,288.1500000000577,211.97869377797295,412.2643710837645,201.3797590890743,1172.7639407666086,110.79781107592598,1057.4751092046877,1.8175427576910845,63.81482055078872,0.5258634344474257,1.0989911261068972,235.5842170480373,64.93812238652433,70000.0,0.5678748138608447,0.7396531895347053,11.036295756505206,1.4001452291610537,1004.4167849535459,1.3942742237058683,1015.1005896294189,1.3097607826969155,1213.6246099789971,1.3176595962947752,1190.582165587319,70.0,1.0,0.7247712523879162,1.1285941829362336,2.1658820305779893,0.6458433480089568,8.227677340431086,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,99.53572482777916,99.53587626830047,0.00015144052130503614,0.4450068392383803,0.010253530254836092,0.37084884830323817,0.021889222553895013,1.9395353826589676,2.0008910040296684,98.21762904407348,288.1500000000577,196.5227703914097,403.14012890080164,186.6966318718392,1243.2749296310394,108.93495469989821,1133.9209070734075,1.713835860915024,51.59370093942593,0.45908579167187896,1.0825644133626793,223.3481749513015,64.63694369455128,67500.0,0.5444392478594852,0.7367786015494121,12.254414063238956,1.4001452291610537,1004.4167849535459,1.3949074273227815,1013.9337160920447,1.3039046820585216,1231.480742802232,1.3108092788474865,1210.4843759028672,67.5,1.0,0.6988865648026334,1.0588172013943933,2.007481760814911,0.6191901067674606,9.134746931947394,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,84.60326795633141,84.6034037246709,0.00013576833949675778,0.3989542502062579,0.010117989207870704,0.43053610136118425,0.024093213050137334,1.8287296934878268,1.8865800671732886,98.21762904407342,288.1500000000577,185.29542119956918,397.6097811667941,176.0306501395907,1312.150702751321,107.4381219964275,1207.7979622672972,1.6384375198353154,44.0204824488171,0.41157620882920687,1.068546107276947,211.29952465238006,65.65031965283269,65000.0,0.5195888632912163,0.7356168491663847,11.810820146204463,1.4001452291610537,1004.4167849535459,1.3952657673072852,1013.2765797202636,1.2984824791156375,1248.6558303743354,1.3046534159664194,1229.1443041385178,65.0,1.0,0.6730018772173506,0.9973616290032126,1.892418099056738,0.5909277940584948,8.802787716580132,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,73.44630876011622,73.44642955800653,0.00012079789030502709,0.354963697219636,0.010000573732976956,0.49018209419215025,0.02676483573036931,1.7179240043166863,1.7722691303169094,98.21762904407353,288.1500000000577,174.068072007729,390.16573997926537,165.36466840734255,1393.08214382334,106.52796924446966,1295.589395973286,1.5523122197875499,36.49120115967205,0.3661938999224239,1.0601840206573572,205.6312098873463,64.7251323539601,62500.0,0.4947384787229477,0.7339702969798572,11.112381315968985,1.4001452291610537,1004.4167849535459,1.3957481022870115,1012.3920553396092,1.292336202837392,1268.9478997964536,1.2977525589288106,1251.0004731409513,62.5,1.0,0.647117189632068,0.9359060566120322,1.7773544372985661,0.5626654813495294,8.280573419245888,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,59.86133108052016,59.8614356808197,0.0001046002995377174,0.30736719789090877,0.009845957524294898,0.5921259425351494,0.030431548038512446,1.6071183151455462,1.6579581934605305,98.21762904407343,288.15000000005745,162.8407228158885,382.7821633840966,154.69868667509408,1503.0108353773096,105.19202616578133,1412.2791493482125,1.4706313046132495,29.30033207173997,0.31709156115267373,1.0478103403606827,192.86069713769396,65.61575292387283,60000.0,0.4698880941546791,0.733296956930607,10.362423052930863,1.4001452291610537,1004.4167849535459,1.3962265167523153,1011.5147191158127,1.284304611900295,1296.9610871881719,1.289071693757809,1280.0848735372601,60.0,1.0,0.6212325020467855,0.8744504842208521,1.6622907755403944,0.534403168640564,7.719177600664315,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,47.845726245749965,47.845813588909785,8.734315981267605e-05,0.25665722187420337,0.009594313288405161,0.7218936893308554,0.03551272610771219,1.5045412275326058,1.5521361632674449,98.21762904407316,288.1500000000579,152.4471339096929,374.16538727511977,144.82477721420824,1650.3902500125396,104.11650178940342,1567.7601456026505,1.3909877370557984,22.227664549445027,0.264777242736502,1.0384113737242906,183.69963046789866,64.38942392936937,57499.99999999999,0.4456796698799786,0.7299863686533338,9.310820642247844,1.4001452291610537,1004.4167849535459,1.3967765217860202,1010.506631287505,1.2736995621716534,1337.25886956449,1.277970290110417,1320.432127147943,57.49999999999999,1.0,0.5953478144615022,0.8154648011401109,1.5557719189589054,0.5068709566072529,6.931212543136916,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
1e-06,0.0,40.265115290433954,40.26519267696292,7.738652896516673e-05,0.22739973659396662,0.00947155970271343,0.8468276989602744,0.0395690067734955,1.4395193487523628,1.4850573703360492,98.21762904407338,288.1500000000574,145.85881390883318,368.82853875270195,138.56587321339154,1764.0996818908236,103.32298412309498,1687.0979647973961,1.3410943788490421,18.469470739530806,0.23459412057326903,1.031224764459009,173.80400092323913,65.29547411267612,55000.00000000001,0.42440114234614607,0.7274006730175194,8.49515998480849,1.4001452291610537,1004.4167849535459,1.3970461235022915,1010.0171370756326,1.2651733801665623,1373.4995016178405,1.2693751669645847,1354.9918023046828,55.00000000000001,1.0,0.5694631268762201,0.7677516542480719,1.488251419580076,0.48267091264031137,6.320937743375649,False,49.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_VIGV2
