rpm,N,hub_tip,Cx,feasible,eta_is_tool,DF,deHaller,M_rel_tip,h_last,r_tip_mm,length_mm,D_casing_mm,n_blades
75000,6,0.4,185,False,0.8395570317195993,0.5078832165336189,0.6946492518986862,1.2114129145768204,0.012222739584432166,53.6938616146054,201.93225866707172,112.8877232292108,292
75000,6,0.4,200,False,0.8343922118462791,0.48652760076433443,0.7154777687563347,1.2180028858801375,0.011749018373120451,52.23054871632068,195.05959603267758,109.96109743264138,295
75000,6,0.45,170,False,0.8371058708310429,0.5009346561134741,0.6859273167601413,1.2153579607849165,0.012077819811787169,57.03953008889378,199.17233594402123,119.57906017778757,323
75000,6,0.45,185,False,0.8345203089692805,0.4838435988556963,0.7042143328665526,1.2141778837652752,0.011558888822326516,55.21927176125563,191.37644696183924,115.93854352251127,326
75000,6,0.45,200,True,0.8300586130540821,0.46478741870403156,0.7231057310423757,1.220210328835875,0.011106435809434587,53.708130406402645,184.76153150884485,112.9162608128053,331
75000,6,0.5,170,False,0.8286147899544423,0.4721554145067315,0.6998053997576325,1.2224846902194773,0.011404195015610713,58.95991972464746,188.62425246626984,123.41983944929494,366
75000,6,0.5,185,False,0.827216781236923,0.45792091672174107,0.715537581524165,1.2203600579449667,0.010908034546870685,57.07057705658716,181.10017350835807,119.64115411317434,368
75000,6,0.5,200,True,0.823616808544942,0.4413371932977942,0.7323103579736282,1.225641840504157,0.01047622664673599,55.502591484232454,174.730387042988,116.50518296846492,373
75000,6,0.55,170,False,0.8167106070991915,0.4411687164717887,0.7157300247417009,1.234334010682943,0.010741551143870043,61.299948919776,178.34490078350277,128.099897839552,415
75000,6,0.55,185,True,0.8168671483878558,0.4298791439956652,0.7287945547724385,1.2309598830390098,0.010267328203046142,59.327476741643466,171.07256039671702,124.15495348328693,418
75000,6,0.55,200,False,0.8143755052110704,0.41591960474700684,0.7432836253467882,1.2352418125088327,0.009855522936289413,57.691159214393764,164.93295804466433,120.88231842878754,422
75000,7,0.4,170,False,0.8355093000232058,0.46759443912544724,0.7102919435369448,1.1971694142874465,0.012634244242563,55.581729688133336,244.10091853665247,116.66345937626669,339
75000,7,0.4,185,True,0.8318797441988456,0.44967516419595344,0.7288068472653747,1.1960843156659495,0.012094408006991145,53.81009744061541,234.63308565836354,113.12019488123082,341
75000,7,0.4,200,True,0.8263793118961762,0.4302894656324099,0.7475226933494292,1.2022147886593189,0.011622961534314372,52.33900335982675,226.58248412313904,110.1780067196535,343
75000,7,0.45,170,True,0.8275076176569451,0.44265839862553535,0.7218688633881744,1.2014433801214917,0.01195789267936119,57.17004079091131,231.6111052000888,119.84008158182262,378
75000,7,0.45,185,True,0.8249555775631638,0.4272851425826877,0.7381529242975047,1.1996686325348518,0.01144164924735823,55.340987067577025,222.4857206058612,116.18197413515405,386
75000,7,0.45,200,True,0.8202410390811794,0.41007437668657176,0.7550490811674009,1.205258578388367,0.010991496353132166,53.82266549718549,214.74117883710187,113.145330994371,390
75000,7,0.5,170,True,0.8166449962999884,0.4161177935303645,0.7350033996853075,1.2094151522836298,0.011294415857547563,59.09394196601653,219.44635909275794,123.68788393203306,429
75000,7,0.5,185,True,0.8154668308394771,0.4033761224237572,0.7489511255559969,1.2067136495662052,0.010800967758040889,57.19633913399015,210.64317360992308,119.8926782679803,431
75000,7,0.5,200,True,0.8117391788596536,0.388469658262407,0.7638871439421593,1.2115682359453863,0.010371472290551659,55.62167666639415,203.18924255203618,116.7433533327883,435
